guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
3acbc00d-1ca9-4eb0-98e7-e4fe13644abb,Jeep,Grand Cherokee,SUV/4x4/Pick-up,PrivateSeller,1800,b,227000,07-1994,https://prod.pictures.autoscout24.net/listing-images/3acbc00d-1ca9-4eb0-98e7-e4fe13644abb_623993c4-3e54-495d-9072-4c4f175935b4.jpg/250x188.webp,6951,159.22970869043618,10380,139
94b011ec-6085-48c7-8808-00180b586175,Jeep,Patriot,SUV/4x4/Pick-up,PrivateSeller,3000,d,269048,12-2008,https://prod.pictures.autoscout24.net/listing-images/94b011ec-6085-48c7-8808-00180b586175_d62fa99f-9655-45d0-bb4f-ab2db12622f2.jpg/250x188.webp,7780,129.12592734900286,5113,135
7bc0febe-0951-489e-8e74-edac6f4307b7,Jeep,Cherokee,SUV/4x4/Pick-up,PrivateSeller,3500,d,190000,02-2003,https://prod.pictures.autoscout24.net/listing-images/7bc0febe-0951-489e-8e74-edac6f4307b7_9b5ef4b7-7a2d-480d-b323-9808af23ded1.jpg/250x188.webp,1850,59.738651260413086,7243,23
055bfc50-b986-4ce0-8f1d-a3d2fb097c63,Jeep,Cherokee,SUV/4x4/Pick-up,PrivateSeller,4000,d,182293,07-2001,https://prod.pictures.autoscout24.net/listing-images/055bfc50-b986-4ce0-8f1d-a3d2fb097c63_e3833cac-0270-4e74-94de-1f09265b89b4.jpg/250x188.webp,5555,177.90865712825092,7823,11
91c58131-3ade-4767-ba43-b5a3eddcbad3,Jeep,Compass,SUV/4x4/Pick-up,PrivateSeller,4500,b,184000,10-2008,https://prod.pictures.autoscout24.net/listing-images/91c58131-3ade-4767-ba43-b5a3eddcbad3_3e5e618f-2ebf-442a-82b4-a2e14592cf0e.jpg/250x188.webp,1750,76.75328563765976,5174,119
e9b75663-4695-4907-a25e-b5fbb0befa75,Jeep,Compass,SUV/4x4/Pick-up,PrivateSeller,5000,d,200000,01-2012,https://prod.pictures.autoscout24.net/listing-images/e9b75663-4695-4907-a25e-b5fbb0befa75_0f1e00ef-93e9-4bfe-a558-1061f3ef947d.jpg/250x188.webp,1932,66.67198913187099,3987,5
7dbbd8c8-a66e-4fc7-9618-e71c1a8af1d1,Jeep,Cherokee,SUV/4x4/Pick-up,Dealer,5500,d,148620,06-2001,https://prod.pictures.autoscout24.net/listing-images/7dbbd8c8-a66e-4fc7-9618-e71c1a8af1d1_58927904-ef92-42aa-a784-422aa7418a38.jpg/250x188.webp,8530,105.8653486907627,7853,20
f6c93d17-5971-4180-acdb-31965a789379,Jeep,Wrangler,SUV/4x4/Pick-up,PrivateSeller,5900,b,259000,05-1990,https://prod.pictures.autoscout24.net/listing-images/f6c93d17-5971-4180-acdb-31965a789379_eaa7942e-f4d1-4b4d-a0b4-88ec819cd081.jpg/250x188.webp,8041,,11902,91
9cef10b8-77c8-4f05-88b3-5110c0a7779d,Jeep,Patriot,SUV/4x4/Pick-up,Dealer,5950,b,169521,08-2010,https://prod.pictures.autoscout24.net/listing-images/9cef10b8-77c8-4f05-88b3-5110c0a7779d_ec6c8c9a-0982-43f5-b4f7-da5bf74c5fa7.jpg/250x188.webp,1080,69.57979227671277,4505,397
99a46aeb-0312-4a6e-98fc-1c40c8481bdf,Jeep,Grand Cherokee,SUV/4x4/Pick-up,PrivateSeller,6000,d,265000,09-2008,https://prod.pictures.autoscout24.net/listing-images/99a46aeb-0312-4a6e-98fc-1c40c8481bdf_d16efa09-59a8-4a76-ac1f-c801cef60fe0.jpg/250x188.webp,6700,222.44484417522085,5204,89
