guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
ae9d8e05-1c56-4dc8-a404-8b1cc8a30d40,Mercedes-Benz,A 170,Monovolume,PrivateSeller,500,d,210635,02-2004,https://prod.pictures.autoscout24.net/listing-images/ae9d8e05-1c56-4dc8-a404-8b1cc8a30d40_413610e8-960c-4f78-82ae-5fd2deb592be.jpg/250x188.webp,2830,45.04397020411872,6878,25
e901f2ea-b434-4864-944e-b216c02584a3,Mercedes-Benz,E 220,Berline,PrivateSeller,600,d,400000,06-1996,https://prod.pictures.autoscout24.net/listing-images/e901f2ea-b434-4864-944e-b216c02584a3_30160b4d-7f7b-4151-bb08-ef49013e18ce.jpg/250x188.webp,1070,71.06367211068877,9679,150
d643ed42-7830-4855-bce1-0aa08a76cf97,Mercedes-Benz,A 170,Monovolume,Dealer,750,d,269895,07-2004,https://prod.pictures.autoscout24.net/listing-images/d643ed42-7830-4855-bce1-0aa08a76cf97_66cb86fb-1c1c-4508-98d7-4fd9fa9f7d00.jpg/250x188.webp,9600,100.62421555744224,6727,44
40ef3428-175a-4846-95d4-2d2b6627309a,Mercedes-Benz,E 220,Andere,Dealer,800,d,257000,06-1997,https://prod.pictures.autoscout24.net/listing-images/40ef3428-175a-4846-95d4-2d2b6627309a_1aeb55d1-3c6c-4208-8fc0-fbc73a412947.jpg/250x188.webp,9990,76.7983356711753,9314,31
24d5c650-71c8-4b70-a40f-720f62668986,Mercedes-Benz,A 140,Monovolume,Dealer,899,b,207000,10-1999,https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_b5a7ad55-6cfc-42cc-be0a-2b662270ee53.jpg/250x188.webp,3630,102.97605198560623,8462,40
5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb,Mercedes-Benz,A 170,Monovolume,Dealer,900,d,160000,10-2003,https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_36f5149a-1f7d-477f-9e7f-065387a81276.jpg/250x188.webp,3600,91.05707630102727,7001,62
ce7b0ca7-9552-47af-8fef-7b278246c6f8,Mercedes-Benz,CLK 230,Cabriolet,PrivateSeller,900,b,340000,01-2000,https://prod.pictures.autoscout24.net/listing-images/ce7b0ca7-9552-47af-8fef-7b278246c6f8_d53b0c4c-3b37-4f20-968a-2cb45115ff99.jpg/250x188.webp,2880,47.93429287155117,8370,51
931aee0a-0f1e-4fd3-80ab-04cd901378e9,Mercedes-Benz,A 140,Monovolume,Dealer,990,b,170000,10-2004,https://prod.pictures.autoscout24.net/listing-images/931aee0a-0f1e-4fd3-80ab-04cd901378e9_fea2665d-3cf7-417c-bfc3-a7c2ed306f31.jpg/250x188.webp,1600,78.61296004280759,6635,54
badb11d8-a908-4cc7-be0b-ff51183122b2,Mercedes-Benz,C 200,Coupé,PrivateSeller,1000,d,75800,12-2006,https://prod.pictures.autoscout24.net/listing-images/badb11d8-a908-4cc7-be0b-ff51183122b2_ea787846-4996-4e82-b7e4-715104324db8.jpg/250x188.webp,6031,117.04479587125066,5844,75
84e39942-f7f5-459f-840b-9812c9b89510,Mercedes-Benz,A 180,Monovolume,PrivateSeller,1100,d,326857,06-2006,https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_e212e337-7bf4-4c91-97d8-333932dcba4b.jpg/250x188.webp,1190,73.06612059240499,6027,99
400e1b5c-868c-4a71-889f-986028a457b1,Mercedes-Benz,C 180,Berline,Dealer,1150,b,247491,02-2002,https://prod.pictures.autoscout24.net/listing-images/400e1b5c-868c-4a71-889f-986028a457b1_c95c026e-5e27-4395-9d05-86c349a37d87.jpg/250x188.webp,1070,71.06367211068877,7608,0
6d2d0645-5408-412e-9a43-d6115f7283ee,Mercedes-Benz,E 220,Berline,PrivateSeller,1250,d,238200,07-1998,https://prod.pictures.autoscout24.net/listing-images/6d2d0645-5408-412e-9a43-d6115f7283ee_da4d7256-e939-4f88-8c5c-da52e704e163.jpg/250x188.webp,3020,64.4845066062384,8919,0
f5ad28f1-6573-44fd-99ee-d40b199f6618,Mercedes-Benz,C 200,Berline,Dealer,1300,d,314411,09-2003,https://prod.pictures.autoscout24.net/listing-images/f5ad28f1-6573-44fd-99ee-d40b199f6618_2496f586-48b3-4b46-9b09-60e29c5571d7.jpg/250x188.webp,1070,71.06367211068877,7031,1
