guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
baf819e3-b908-40c5-959c-36d07f6ac5b2,Alfa Romeo,Alfa 6,2.5 benzine V6,Dealer,1,b,100045,04-1981,1980,https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_c92e2680-1407-4007-abb2-e4954b814a30.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_adc285b9-fc24-4b5f-8f52-0f53f4879f84.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_69d10ec5-4d3b-4df4-b802-3db4e509e203.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_17bb8b07-bf35-48ae-893b-bdf6ba69ae9f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_e13e6adc-b9af-4b79-bacf-07ac986e987b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_8885bab2-955a-4c52-8660-95de1b06f26e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_c5dc6566-5a52-42db-be19-93f8c6898457.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_3f606328-7384-4c71-8f80-fb6c7c750496.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_a22a30f4-37a5-48e4-b707-adfb68d3da9c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_a74c8b13-1b62-47ad-a50d-ef0c64080016.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_a3609b60-704d-442f-8f83-c5471cc42c68.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_f83b87ad-f805-45af-9886-51cbd0847094.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_1dbdb9d3-60d2-4644-8bfa-9b6c3502a9f8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_d10017e4-dd7f-4c53-91ab-67ad50dff6fe.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/baf819e3-b908-40c5-959c-36d07f6ac5b2_5f473299-6f8c-4201-ae58-c81ed215cf62.jpg/250x188.webp,56.21438376025373,15242
1b46472a-c81c-468c-b71b-6655caffc25f,Alfa Romeo,GTV,2.0i 16v TS Lusso Cup,PrivateSeller,1,b,223000,08-2001,7340,https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_f4cce894-6ee2-40cc-9b54-698b0ff0cd84.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_861eeb08-2be7-48e3-88de-b8f096dc5303.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_10eb77bc-751d-4d6c-9504-27ff50dc9258.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_ca0c21ff-1409-44f6-9f82-4d289df482f6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_eb488aee-b195-4c3c-9ecb-1ff521749e0e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_90433468-ae60-4781-8abb-c8b9f667b6d9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_2c85f2a5-7d5d-45ab-beeb-574070fc7d15.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_067dc12b-e5f0-4824-a310-8ed8a9ef9ee7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_6290f684-4dfb-46d7-8891-478861026323.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1b46472a-c81c-468c-b71b-6655caffc25f_dad65348-9970-489f-b078-3abd2e6195df.jpg/250x188.webp,126.38155252550393,7815
741d4f42-6cee-4071-92bd-aae046c4cf45,Alfa Romeo,156,1.9 JTD * MOTOR PROBLEEM *,Dealer,400,d,153660,01-2003,1910,https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_66a0cf5e-4263-466c-a1b5-2562dd1494e7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_c877b1b0-6229-4f66-a381-9d93b31f78a0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_5de3684f-5942-4444-916d-eaa3c3b70c3d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_04da80e9-c74d-4828-80f1-de4703e19d8d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_cb254d82-8835-4a2a-81e5-d29ce239eb6f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_7a7f259c-14a8-464d-9ca7-0082340b2ba0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_87a0bfa6-ac8e-4164-94ef-d03a16686f31.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_a63ca6a8-6674-4a2d-b0dc-e46e0a643502.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_937c38b2-4b10-463f-b449-b33f2109f5da.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_3f5f4ef0-f104-4a04-a06e-8e57e05e72ee.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_2e7d642a-b065-41c1-aca3-9d7b0cbc996b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_012bb1e8-492f-4be2-8370-d36bc94bd7d1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_5a05236c-df01-468d-a59f-4078ddb5f391.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/741d4f42-6cee-4071-92bd-aae046c4cf45_188c5673-7c2e-4d1e-9eb6-9d493255ce42.jpg/250x188.webp,61.06717284299515,7297
5242639a-d5f0-4b14-9e00-2070dbeca1d6,Alfa Romeo,156,1.9 JTD 16v Progression,PrivateSeller,900,d,280000,02-2005,4460,https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_6314306d-5940-4d3f-ad15-1d8c8f94ca4a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_7f81faba-f6a3-4740-b6ef-e3aee0a46445.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_5c3a2158-4e3e-4bed-b4fc-498b20157718.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_80ddf44f-a623-4231-84ce-68ef6885901a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_b0332806-9fbf-4364-a8c5-7ddf9c30ca0a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5242639a-d5f0-4b14-9e00-2070dbeca1d6_f234e0eb-3da4-42ce-b55e-839280b1e8dd.jpg/250x188.webp,114.8668906662163,6535
67272459-3f1d-48a9-a9a8-509b03dc604e,Alfa Romeo,159,marchand ou export,Dealer,990,d,271160,03-2006,4040,https://prod.pictures.autoscout24.net/listing-images/67272459-3f1d-48a9-a9a8-509b03dc604e_cdba42d3-d6eb-443e-acf6-a94a14abdf00.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/67272459-3f1d-48a9-a9a8-509b03dc604e_bd74445c-99e2-4f92-9763-23fd1c6a847e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/67272459-3f1d-48a9-a9a8-509b03dc604e_c33f6c43-f96a-4e72-9491-4f9f26fa3b27.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/67272459-3f1d-48a9-a9a8-509b03dc604e_98f916b2-e30d-4623-965f-bf6c4495ae05.jpg/250x188.webp,120.39133917274062,6142
9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989,Alfa Romeo,159,,PrivateSeller,990,d,200000,07-2007,6250,https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_dccb3765-3476-4879-b354-d969723a2ff1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_46c795b0-cd7f-475f-9f06-d5b754684795.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_44fdbc90-6196-456c-a16e-410e8512d62d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_34713af7-6e9a-49d4-b7a9-6f372ab67dbc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_0b5501a1-4a7c-44ec-82ff-d39827f82d8c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_f663d756-08f6-47c1-8c6c-174e9124ca8d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_f49e2180-d9bd-4bbe-a117-3d40fa04bd34.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_f85b80fa-5475-4498-88fd-c54f0b396c78.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_9bf39278-57f1-45b7-94d8-f6135547ff63.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_60fd0411-004c-4810-93e0-a3d60113ddfa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_4a4e35a2-4543-4167-9880-45849a83b826.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_098c05be-8e73-4697-a601-24b3896ea639.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_432971e8-dede-4441-9740-b0b6d08dd176.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_cd61ac73-b0fa-4971-9c74-deafc18ed3ba.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9ae6c2f0-aeb7-41fe-b086-6a65c1d8b989_2b725f61-d6b3-4d0d-a5ae-b97893915afb.jpg/250x188.webp,115.60596353389253,5655
56cfafff-2b41-4a51-b053-f3ace235439e,Alfa Romeo,156,Sportwagon 1.9 JTD 16V Distinctive,PrivateSeller,999,d,228000,11-2003,3970,https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_bdcecfb2-bbbf-4e09-926b-0f359a8041cc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_d2508f7d-24a6-4685-876c-30ab79eee7fd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_7288d375-bef6-4511-957f-28f17b926cee.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_2d5806fc-f854-4a5c-87f6-5d225bf60c90.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_04fbfde0-b823-462b-b6c1-66a939b4bad8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_1876ebab-ee6a-43f9-a763-68425261b9e2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_6e9b645d-ffe7-441f-8a67-cccc24ec8377.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_7779e4df-e55d-4a32-ae2c-1ff33020f763.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_e7052a8d-cf53-4261-8354-65f706444d6d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_8a469572-900a-4e27-8910-8d8d7fe58b12.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_7687a417-c39a-49a1-8d28-ef1915ddf484.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_23e25a9f-ee6e-4d90-932b-9da9644cbe8c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_c8d93ae2-300e-4bd5-bbcb-6e3effe1ce24.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56cfafff-2b41-4a51-b053-f3ace235439e_78dddcc7-cf43-4f6c-b753-60b1dfe10a2b.jpg/250x188.webp,66.88973710098982,6993
f63b53b2-ddc0-4c65-a57f-1a910238dd91,Alfa Romeo,147,1.9 JTD Progression,PrivateSeller,1200,d,281000,05-2002,7380,https://prod.pictures.autoscout24.net/listing-images/f63b53b2-ddc0-4c65-a57f-1a910238dd91_d3b9b843-0cdf-4784-80f7-0c36667eee6e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f63b53b2-ddc0-4c65-a57f-1a910238dd91_be98681a-d0e0-4279-961e-a0b255770774.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f63b53b2-ddc0-4c65-a57f-1a910238dd91_79b26a04-7d1b-4403-95dc-8d36b1d59c2d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f63b53b2-ddc0-4c65-a57f-1a910238dd91_d7a754d6-3d8b-4aff-8779-74af3a02cb23.jpg/250x188.webp,129.95614046754844,7542
8df08b7e-4796-4a34-911b-f2169c399e84,Alfa Romeo,147,1.9 JTD,PrivateSeller,1200,d,235000,09-2009,7012,https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_6a6e98bc-e77e-42b2-87a1-65f9f803ddf9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_5c94df5d-c0a6-4361-8dc5-d361efcba287.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_170cf84d-d9f9-4399-9ccf-51c8c494bf0b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_79e30e35-945b-4c97-a31c-951b284cc751.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_d38f044f-7702-40ba-9524-5d8b6dd333b4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_4237f82b-235d-46b5-8401-d13bde2f03ce.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_6cdea107-38e5-4a94-b28b-833910c3c4b0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_3cfdfa48-9828-4f09-96cc-33749896ef8a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8df08b7e-4796-4a34-911b-f2169c399e84_626ea733-f493-43e7-8103-a3f92bf31176.jpg/250x188.webp,120.36322565219064,4862
ad4bc3e3-ad55-1c53-e043-1250030ae6ef,Alfa Romeo,156,SW 1.9 JTD,Dealer,1350,d,204000,01-2001,2300,https://prod.pictures.autoscout24.net/listing-images/ad4bc3e3-ad55-1c53-e043-1250030ae6ef_e2a1446a-37bc-4928-a246-f92045a4c877.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ad4bc3e3-ad55-1c53-e043-1250030ae6ef_662f555b-2a6a-4e06-87ca-a79cacd85f02.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ad4bc3e3-ad55-1c53-e043-1250030ae6ef_b92323ec-2daa-40a6-a992-d72f0fb0f602.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ad4bc3e3-ad55-1c53-e043-1250030ae6ef_eae07313-54a4-4acb-a96f-fec62d7664c3.jpg/250x188.webp,36.751136569594,8027
