guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
1cfa88f0-8776-46a8-95bd-b4bef8ad6151,Audi,A4,1.9 TDi Ambition,PrivateSeller,900,d,260000,02-2001,1300,https://prod.pictures.autoscout24.net/listing-images/1cfa88f0-8776-46a8-95bd-b4bef8ad6151_79e9a133-2e55-4f13-a753-8dfab921dbcd.jpg/250x188.webp,83.88957347991013,7996
38d4b24c-a290-49ca-a4dd-ffa46729a3d9,Audi,100,,PrivateSeller,999,b,149000,06-1986,2650,https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_2986541b-6a38-4ffb-92ce-be5fdec1f511.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_d457e7fc-25ef-4fe2-8d85-3fabe79eeded.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_facb9baf-c043-4b0b-b08c-34e07e9f2ada.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_1dc88e32-0875-4061-b110-aca34c225397.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_3fd2c9c5-9b9a-4729-b29c-834ff2ee17ef.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_e584b8ee-92c1-4e28-8852-f73ccf3c7127.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_758afd19-9da7-4b69-8947-392e2f592edc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_f921757e-76cf-49ec-9090-42bb839cb688.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_d4e41898-d8c1-4e17-8a88-7471cc136648.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_193a316c-466f-4e9b-9657-adef93bae431.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_eb8706e1-369e-41b8-9a2b-5f6b0c0a4439.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_8e30f05d-d722-4db1-aba3-952009ae345d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_f553db53-ff6c-4b6f-8197-ce9e2a91a7b0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_ff071dd6-208e-4f26-98a1-fd82d5bda3cb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_57db4ef6-2e9a-4874-86fe-b6a682f41387.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/38d4b24c-a290-49ca-a4dd-ffa46729a3d9_78c08487-d6df-406f-9e97-e091fb46708b.jpg/250x188.webp,34.65519997729238,13355
d37cdd90-23bb-491c-9c28-d81c3c6715a4,Audi,80,,PrivateSeller,1000,b,128000,10-1974,6440,https://prod.pictures.autoscout24.net/listing-images/d37cdd90-23bb-491c-9c28-d81c3c6715a4_8d90ab6e-2832-40d9-b192-6c15335edda6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d37cdd90-23bb-491c-9c28-d81c3c6715a4_1aa1ef2a-9268-4c03-9296-fccae000f190.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d37cdd90-23bb-491c-9c28-d81c3c6715a4_0a6423ac-96a4-400e-b23a-b00c86b9adc8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d37cdd90-23bb-491c-9c28-d81c3c6715a4_94939913-56e2-423c-ac20-9f8dc3f6eb67.jpg/250x188.webp,141.40876452366408,17616
5e309239-41db-4aa7-9829-bbd8e6b318fc,Audi,A4,1.9 TDi Ambiente,PrivateSeller,1100,d,395000,03-1999,6040,https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_3f0b6ece-8197-4c30-bbf2-ee65ce3d44df.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_222d2388-a25e-4fc2-a75a-2022920b969e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_d58ad78e-56d0-40f9-ac1e-7964d5588b14.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_f6340084-d331-4caa-9fea-b200f61ff4bb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_61ae3782-0d04-43c1-a2d5-fa681e66b92b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_a80db97f-462d-4b01-9bdd-7cf476f5e473.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_c839c54f-c090-4ec8-91b1-5ff957daec34.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e309239-41db-4aa7-9829-bbd8e6b318fc_97209640-8677-4832-85cf-ced5500f1ce3.jpg/250x188.webp,114.0742701643821,8699
66b84137-6774-4ab1-98f7-a9c6efcd4113,Audi,A4,1.9 TDi,PrivateSeller,1200,d,419000,05-2003,6663,https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_4753644c-2930-47d7-8a0c-8285c51e7e95.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_d0b9a35f-33f1-47ff-8fc2-1bdd0b827084.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_c7f89bc7-937a-4091-9e67-22d2a09b886d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_4d8c9311-28ea-4fb6-b375-d2f366a775f7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_858df1dc-565a-49cf-acee-eef1f5382e4f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_b2f1e448-cdd6-4be0-b884-6d88dcd92f0e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_6d57a689-da07-41c1-b480-3f03d9123d0a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_db1f442a-3649-41ed-8ef1-5090c6818851.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_e772b82d-d398-457e-9625-462476f187d1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_ef09f357-e450-4d66-a617-fc6ab00b6393.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_5279acb0-55a9-4081-a83f-99b72b663a7c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_4f9c7ebc-239b-41cb-a9c9-5bd0ddc70ed3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_a6054859-cb71-474e-be99-ce4bf10d7430.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_77863a18-35fc-400f-af82-e6f1f28d9b77.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_957cd802-b033-459f-ae09-01c485b1cec1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_5725f498-d8f6-47a0-8316-777cd4161c63.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_c6d7ea79-081d-46f3-9ac3-59ff07f4886f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/66b84137-6774-4ab1-98f7-a9c6efcd4113_888796f9-ac69-4778-9060-227d66c82974.jpg/250x188.webp,176.49087148112616,7177
15d3c9d4-58e9-405b-9eb3-17f0f99a6994,Audi,80,,PrivateSeller,1200,d,250000,08-1988,8770,https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_183dd2d1-0bba-469f-8762-71262bd6dd23.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_29e01a84-0848-467e-8296-656e9615db7b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_27d122a2-8b85-4caa-a08f-8d6f49453ec4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_dee23c6c-4461-4ff6-9bc2-a9264c8aff8d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_43939502-515b-4c3e-8c4d-d77cd9d58497.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/15d3c9d4-58e9-405b-9eb3-17f0f99a6994_061dcc73-e0bb-45b8-82dd-9e37682f06ef.jpg/250x188.webp,104.15692480242703,12563
a74aeb0d-edda-4466-af10-d91896b1dc03,Audi,A2,1.4 TDi,PrivateSeller,1300,d,217196,07-2003,4020,,121.60247278825214,7116
3ebf329e-8a6a-4317-9f75-6f328a594129,Audi,A4,1900 TDI BV6 130 CV quattro,Dealer,1310,d,398000,08-2004,1325,https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_c1a89264-9cd0-4841-a4ef-6867caadfa4b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_779d0190-a456-411f-a47f-8a40f58fb40c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_8480005d-ee47-416a-8fb4-62883d5d938a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_bd2e0b3a-ac91-4def-bfd5-b3c7a3f04161.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_dcda0d0a-42e1-4c8d-a9a1-c9972c731edb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_892c705e-1134-48d0-8440-1855a3cd3659.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_25750e60-0633-48d2-8643-a7549877a5db.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_edf3a1ed-65e2-4cba-9e41-a83cbf71e2a1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_f163a420-7058-4d9d-bc44-a685313e37ef.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_716fb1a9-df33-43bb-af1b-9419700cbb7c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_aec642b3-bf19-4447-b58e-bd4938825049.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3ebf329e-8a6a-4317-9f75-6f328a594129_805cb66c-a83c-4e2f-89e8-e7560fb72927.jpg/250x188.webp,85.97978805911903,6719
601e399e-5f8e-47a2-b378-c6a2efd7155b,Audi,80,2.0 ESSENCE,Dealer,1500,b,131000,10-1992,7033,https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_fb57bd72-098b-4f36-8a5f-7afefc5149fa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_392b5cfe-24f7-4ffa-bc2d-a16ce487fecc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_7c67f89b-313f-4afa-a131-441ac27dd010.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_eb64a809-dcef-406c-a11e-f7e41d403c8e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_434f9a9a-3b29-4548-83ed-fb37621f1c3d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_9c4d2a17-c60f-4b77-aacf-5062b28e4481.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_dd3991bc-2c4f-4420-916f-c74713187d76.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_5bc49a1a-0225-4b39-8b2d-90cac061ab7d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_ec70d920-49b6-423e-be3e-c34e7115116c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_0685a137-d70d-4b6b-ad8a-c308fbfc697d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_c1dba5ce-abab-48d0-9548-2adcfc1f83f2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_2f15996b-4bdc-4563-a995-27519fdf686b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_a0e69e80-ed9d-44e8-a005-642985ad545d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/601e399e-5f8e-47a2-b378-c6a2efd7155b_a1cc8117-f673-4f56-b5e6-645080354242.jpg/250x188.webp,120.92234590410432,11041
b7396110-cafd-417a-8e96-71ae55dc35b4,Audi,A2,1.4i 16v,PrivateSeller,1500,b,290000,02-2001,3600,https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_8278317c-8c13-4b73-9b75-2d01915e459a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_3e6cdbb9-3a4e-4e31-bfde-9ce24951c192.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_bfeab82b-cef4-4a0d-ab5b-eb23bb11fee4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_54e09a2f-0bf9-4b9e-b731-59eda9c564dd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_02fa1f30-12bf-41cc-adaf-b48cba9a2844.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b7396110-cafd-417a-8e96-71ae55dc35b4_770d3a95-adeb-4b9f-ad0f-27a116976659.jpg/250x188.webp,91.05707630102727,7996
