guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
71ece728-85eb-4a75-9e64-66e69dd1692d,Lexus,IS 220d,2.2 D4D D-CAT IS220 Business,Dealer,2999,d,290000,01-2006,1700,https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_3b286de1-20b1-4a3b-b0e0-cef293efcbb2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_d9f12277-6970-43b8-af07-2c069075d042.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_7de8e5ca-bab5-4226-be83-ddbdacbb16c5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_035f3a65-f285-445f-81f2-dcd846e8a721.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_0eead8f4-1c22-446e-bb25-747754409879.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_0d711ab2-5c4b-4e04-8ac3-9004f3334342.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_ec194187-f758-4db1-ba87-2c0f3424cbc6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_2ee5dd45-0e80-4cf1-9629-ea197fc6113d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_d38bd11c-67d2-4286-8b84-eba4da5610ee.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_35d8633e-1e11-4b19-9fd8-5428f9ca631d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_87e7c8ac-e0b2-4eaf-85e7-3a92a52fcb22.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_5cf412a8-2ed5-4348-81fd-90d26f012844.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71ece728-85eb-4a75-9e64-66e69dd1692d_41955ff8-ae19-4eee-a8b2-1376bbb4e01f.jpg/250x188.webp,70.90697373704198,6195
757e8c6e-c77b-48a2-81b6-e6a4dd8f4497,Lexus,IS 220d,BERLIN 4 DEURS AIRCO++export of handelaar++++,Dealer,2999,d,214129,04-2006,2500,https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_b24986d2-dbb6-412f-8803-5f9ccde9f74d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_2be9d618-5e5d-4188-b2fb-31d6486ad3ba.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_148dcc79-1286-4511-abcc-833e6efb1520.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_ea6e36d9-b08c-4066-af18-69ae8a53fc8f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_fdd64648-93e1-46a5-aefa-a4451ef877e6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_cc159210-faaf-46de-8014-b78f4323cdf4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_004e79b2-c89e-4684-8d08-4d03479a4b3a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_642ce2f8-0ebb-435d-9b4c-a34a484914a2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/757e8c6e-c77b-48a2-81b6-e6a4dd8f4497_dbfb5994-f17a-4434-8067-56bfe63141d4.jpg/250x188.webp,38.36429357421789,6105
69d5eb63-d9de-4413-b38f-d3dc2b63bef2,Lexus,IS 220d,2.2 D4D,Dealer,3000,d,286580,07-2006,1731,https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_88d5fdee-59a1-4137-98b8-df0144dcc5e9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_b2e451f5-b6d6-4364-ab2f-ffb6a3b8f901.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_5576409b-250e-4073-a345-d1863547e782.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_23fd15a0-4aa0-4c30-8861-233f14939236.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_17d63d3d-a260-45b5-baed-cc7009445f3a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_bdc6d8d5-9801-4997-94d3-82562573dd97.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_dcca3912-57da-4203-ae4e-e709bda0d4a9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_ca87a3ef-ae6b-4930-939d-bf1a0e18a168.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_7c5c6226-77af-4f1e-9cdd-14064759a5c6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_1d4d4c38-e35f-4ab0-8da5-e15acf71fc7a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_1b66568e-9faf-491b-8681-2f1717a25a35.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_d47d9c67-e951-4ae3-9a9c-ab0e26b97e79.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_673cc4d0-90a6-4d97-8422-5b811f04ceec.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_72cbd7e8-8b5b-4229-be93-b3e4e28f65e2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/69d5eb63-d9de-4413-b38f-d3dc2b63bef2_699408d7-d0fb-4f8c-ab0f-34e4e49bc22d.jpg/250x188.webp,64.67551938133373,6014
fccf7a0c-cad4-4878-9bf8-e8dc74865b22,Lexus,GS 300,,Dealer,3200,b,231000,11-2001,1080,https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_d35ab086-bdfa-4e7b-8649-143d56e928ec.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_e870acda-900a-4eff-acb9-0818e8c804f8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_c0e80e20-de5b-4e63-b13c-997073a42afa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_3c9e7854-0b8c-468e-a39a-a183016ef6e7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_cd1a714a-c31d-4eb1-8149-bcdc06ca663f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_593ffce2-87d5-4bd9-8975-ff7d2023654f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_f265033e-f7b3-44db-8108-e1a66d0ad0ca.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/fccf7a0c-cad4-4878-9bf8-e8dc74865b22_25032bf8-ae85-4d6e-8261-5f0e1c1d5af6.jpg/250x188.webp,69.57979227671277,7717
62dff70a-a31b-4649-af09-8457bb5c141b,Lexus,RX 300,3.0i VVT-i V6 24v,Dealer,3300,b,180000,03-2000,2610,https://prod.pictures.autoscout24.net/listing-images/62dff70a-a31b-4649-af09-8457bb5c141b_c7cddc9d-4b24-4fda-92fe-0a720e855b6f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/62dff70a-a31b-4649-af09-8457bb5c141b_b1f3c0de-5089-46e2-b3c7-b1eaef574a77.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/62dff70a-a31b-4649-af09-8457bb5c141b_21ac0576-63ad-4efa-a54e-6554c90761c6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/62dff70a-a31b-4649-af09-8457bb5c141b_f0ecfee8-76c5-4a01-b2c3-f1ecee77f201.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/62dff70a-a31b-4649-af09-8457bb5c141b_e1821c63-d58d-4a8b-959f-144b83a2497e.jpg/250x188.webp,33.817501233272104,8327
4215b63b-c1d2-4ece-acbd-d3db15c88ba0,Lexus,IS 220d,DPNR Luxury Line,PrivateSeller,4200,d,200649,10-2006,1070,https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_9b2e994c-b0b5-49b5-9ef4-113038af52de.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_cd4b8527-3450-4f7b-840c-725f10577f2d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_e2fb980c-b292-4fa0-b896-01b935b7b1d8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_4399d276-efd0-434c-8795-2fba9a30519b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_e1333b5e-0061-45f0-be1c-fa9481134a0a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_f168e26d-e570-4a58-9b0c-5a0087cb7273.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_70cb2588-b471-4f35-bd86-132750e5193d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_8acab2e3-f9d7-4d65-bdcb-5c743aa145ea.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_5693587a-7f7e-4835-a89d-8664a2ab9269.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_8cf7feb2-293e-4cba-ae90-a61d232a87ad.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_7ca7f437-108f-45db-9e22-3ef7dc0713b6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_030d0408-99ad-4be0-8d01-da093ac56ea5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_2d320c48-a586-4337-8606-c57a76e40742.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_3fd2ef5a-df54-44b6-a610-f45adf4f9c95.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4215b63b-c1d2-4ece-acbd-d3db15c88ba0_452e7a60-7f88-4258-9f5c-d9c8cc03b9f1.jpg/250x188.webp,71.06367211068877,5922
04e358df-6d15-40c4-bfd2-09c24d7cedf7,Lexus,IS 220d,2.2 D4d full options,Dealer,4250,d,267000,05-2007,7500,https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_021728df-b1b0-4517-a291-3ab5744739c5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_457e16d8-f745-47d2-871d-eaf41343b9a6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_a11b6be5-60ad-4319-9179-eafdec74cbd8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_65c996e5-05d5-48e8-a866-19fc9fa1cefd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_e04e9d14-2254-430b-824d-ed98110e9c70.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_1d503ab6-b8d3-4101-917d-faca4615b63b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_c9f4b3ae-d78e-46ac-99aa-19882802f32b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_177ef9c2-4271-4064-9f2e-b849d2e6cc71.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_fbc7d279-6670-46cf-81ed-5172cb176a82.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_4137e920-d31c-4c84-9d93-e48664ce83af.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_3af7705d-7670-4a08-9f49-7630fc816c77.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_dd027935-eeb9-4110-981e-275ae65b3919.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_d5c12735-616a-4803-a739-48aed3ec53fa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_0d7fd826-71d5-4aea-9a3f-847064001eef.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_73cbacb9-3aa5-47ac-a11c-dd156a5f6cd5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_22d7907b-80ed-47dc-8b05-7fb0de796119.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_ba094aeb-a490-485b-988e-a258c253ca1a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_a7eca317-83a9-46cd-a512-1e32451665bc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_60789196-4318-4f40-b6d2-7a5bad9473e5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_8baf8b4a-46fe-4de5-9640-65db66e4120d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_8b3a18a6-2a31-43b4-8361-942d2b7a5cc0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_4b83064a-5142-4993-ad1a-cc33c68a96f5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_6447130e-3e2d-4a8f-856c-515c4a7172d4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_a933f61c-129e-4e03-9eaf-7ba1fefd453f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_e160094a-e9ad-42b3-92f1-5d1e45980ba4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_563b95fd-21c0-46d1-ba1d-fadd7e43046e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_3b35d6ea-a369-4e7d-bbd7-e3c56ed7e0e0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_e194c83c-9bc8-442e-9ff9-9d3b1e9308e4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_e559a477-916b-442b-ba4d-6a832afaceb8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/04e358df-6d15-40c4-bfd2-09c24d7cedf7_ede88fc2-f119-435a-9b84-26482ac5f8be.jpg/250x188.webp,124.32337959708627,5710
7bcbb1f3-304c-41c3-8324-51d8ea7b5f0e,Lexus,IS 200,2.0i 24v,PrivateSeller,4500,b,185000,04-1999,2800,,49.170515286575046,8662
9fec6304-6950-4b44-ae42-6fe88c267c84,Lexus,RX 300,3.0i VVT-i V6 24v Executive,Dealer,4500,b,238000,12-2000,1000,https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_88278eaf-9415-45a5-a870-6d3b1b2a7937.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_80cea61e-39a1-4a22-a96d-f31a9b030459.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_3b12dda6-4185-463e-a3a5-7947fbfe24ee.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_ab56d3e0-c673-405d-a8aa-166648b6cb1f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_c864cc3a-4088-461f-9fd2-4b1574938814.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_f88f9e66-4733-41c6-8a61-aecaa1f7f03a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_7de830ae-fa8e-431d-9b45-761b0d2b7fad.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_32efadc6-6888-4eb9-91b8-8ff60fd0143a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_66a2e93e-66d2-4eaa-b9ac-0f9fb4671128.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_4ab296ad-a163-4a44-8133-236165c5453e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_2113b568-2e94-4f66-8009-161b780d22b9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_5ccb052f-3936-4d3d-b15b-2714505e8b56.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_4f17885f-3379-4e25-a500-9e6e3679554a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/9fec6304-6950-4b44-ae42-6fe88c267c84_6de2c964-028b-4c46-bf66-90a7d08c2841.jpg/250x188.webp,69.17270624549755,8052
a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c,Lexus,IS 220d,2.2 D4D D-CAT IS220 Executive,PrivateSeller,4650,d,185000,03-2008,1030,https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_ac0c4169-4741-453d-896b-cac7efb475a1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_d3a3a732-d90b-432f-8264-6feafcb72674.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_2bf5251d-cc76-4368-bf4f-0f4dac4c1d1a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_0e668b86-41f2-4ffe-9a83-7c5ed47e5077.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_3bd28af6-e515-4e28-9f24-103dfd8bebd6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a6fa7b02-f22a-442e-99c3-ba4ec3c60b6c_4ce7fe9f-1499-4363-93a5-7df4fba28f5c.jpg/250x188.webp,66.85598932704684,5405
