guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
6e37eefd-ec99-4524-b8d6-20fca2657a4a,Mazda,2,1.4 Turbo CDVi Si,PrivateSeller,600,d,151000,12-2003,7830,https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_2ceb3ffc-95ff-4eb6-8954-82386b8e0986.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_6eeb62e7-935d-4747-b273-bd0ddf9b2560.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_62a02bda-0c5c-4090-98ff-d95e621d24a7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_2c74e2fb-80e1-4c56-9f27-491b058e52e6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_3db15e0a-4162-4e9a-85ba-f10fe460b359.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_2e2ecffc-96fc-4e32-bf47-24e3b8251b00.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_b6e44d28-029e-4c77-80a7-2999945b6488.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_d71ffcba-f664-4930-a29c-ec19cdfc0406.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6e37eefd-ec99-4524-b8d6-20fca2657a4a_ebc03751-ab99-4dd6-bf4c-e6f3d9a7bb1c.jpg/250x188.webp,95.83528394971306,6963
bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0,Mazda,6,2.0i 16v TSi,Dealer,750,b,200000,12-2003,1070,https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_d37fd9d0-b2de-422b-b3f1-9d54e8191889.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_748b942b-9a92-487d-9439-88ff4acba69c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_c3de9aca-1653-4610-8689-d58f7c504cff.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_b16d732f-aab4-44cd-aa8f-eca6c9b64bdc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_36f04263-f288-4c90-b8a3-519fc3557869.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_0b8eea43-1ab5-400b-a2d9-a19d1a41b0b9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_28c04201-c7d0-435c-9278-3c8492f593e2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_08985254-197a-446c-9852-3e55e21947e1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bcfb5272-3ec0-4cc2-bf4a-9dec3eba9fc0_a90cafd1-b0cd-43ef-8f07-b1f6a56e2898.jpg/250x188.webp,71.06367211068877,6963
847b8f25-6e11-4394-bcff-903d160be175,Mazda,6,1.8i 16v Si,PrivateSeller,1200,b,209400,11-2007,7500,https://prod.pictures.autoscout24.net/listing-images/847b8f25-6e11-4394-bcff-903d160be175_d99f19b3-74d5-4554-b900-94e63fa86129.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/847b8f25-6e11-4394-bcff-903d160be175_b666b6e0-d557-4592-aaa6-af1a5edab795.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/847b8f25-6e11-4394-bcff-903d160be175_9abbddfb-479d-4248-a9a0-a1a20d3b2a47.jpg/250x188.webp,124.32337959708627,5532
2973ba1e-0e4d-41ea-96df-c6669cf4088d,Mazda,121,1.3i,PrivateSeller,1200,b,160000,11-1998,4570,https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_0dfea679-ff25-4478-8bf1-0ca4f562d675.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_bcac122d-d8b4-401a-8802-41f958e95098.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_28812b85-6212-4094-8caa-2fd65ef261c1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_42a54f1e-dd4e-4451-8c16-5f93373ba9a7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_d115e951-b06a-4661-9385-6b80c5060688.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_da18ffd4-0792-461d-ae0d-942bff981753.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_a1c0ec86-46b8-4abb-8d2d-fa2b570320ed.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_946f3610-cf05-4b3c-a103-09e3f8b6035b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_810197fc-ba65-45dd-b2f6-20260dd82f09.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_1fe7b1a8-f8a5-4d5f-bdce-bb98385a7eaf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_65e067b8-340a-402f-9c92-fb38054d9544.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_98de44d9-5903-4260-b849-9eadcbf9d68c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_d778b257-bc05-4798-9ead-83b4ed84fc75.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_6a724d40-f2e4-4aa9-bc8e-2a268d24e2ab.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_6326dcd8-4cd2-49b3-b880-13c103ca95af.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_9000e15e-dccc-4660-a1a3-c3bee971e5b0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_d649f603-e081-49ba-a894-9a873956a1ce.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2973ba1e-0e4d-41ea-96df-c6669cf4088d_548f30c4-4f11-4e8a-a1b1-b2331a0c567d.jpg/250x188.webp,124.07688742126888,8819
183dd37e-4157-4e6a-9cf5-bc570ad49c93,Mazda,6,2.0 Turbo CDVi 1v Challenge,PrivateSeller,1200,d,230000,10-2007,3910,https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_ba45afcb-54bd-40f2-ae94-092c1a6aa462.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_67750166-23b8-49da-abad-fc3095401171.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_309e340a-f8c3-4a80-8b18-59d21b48380f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_d885a3a4-e88f-4cf3-9be4-22007f763460.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_97634981-9439-4a1f-b2e2-4a93e6542d1e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_0478083b-ea79-4375-9719-4170ace104d4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_0ac0f81a-53a8-463f-ab83-b4ad2fa2cc67.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_6ea4ce08-83d0-43c1-95ef-6e8afd4fa449.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_a47ffd0a-e05c-4528-ac05-b04ec0ffa585.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_4b6f9b43-64ef-45be-a2bd-fcbfad4c039b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/183dd37e-4157-4e6a-9cf5-bc570ad49c93_eb8e3f66-8729-4444-84be-ce6da6ad4c7d.jpg/250x188.webp,74.58525657452907,5563
3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c,Mazda,626,2.0 TDVi 16v Si,PrivateSeller,1350,d,227305,06-2000,3800,https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_2ee1006c-d980-4ed4-a9d2-89d328b51c5c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_d6cf0791-dabb-4423-b797-96b86bed32ac.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_04f478ae-470c-42e7-a894-ece8610efb6d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_5d78d984-9b2b-4f8b-bd16-456559af1669.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_e22ea7fc-4910-4e8b-b650-8bf5699baeb5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_833ad4f0-e3c5-4848-8ef5-f5bbc679d82d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_43b9129f-ba29-4720-a709-0397ead4fd53.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_308bfc1b-767d-4e2e-8478-fa92534a651e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_a3707d99-3863-42a8-802a-2bb14bac28b6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_acc0b10c-8730-4acb-931f-7b0e05878f39.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_d0b163d0-80dd-4909-a6fb-8ea95a1d197e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_e2d8ceaf-0c91-4d22-95b2-046f827de569.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_7cced20c-abf2-4574-93c6-daa0b37fb5f9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_5900ced5-e461-4f85-b0ed-942408d2693a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3edd1ae5-bb6d-4e11-b2cc-3ec0694ec79c_5aa58f82-dc97-454a-9252-e9a0ed1b2404.jpg/250x188.webp,90.52950000718796,8241
737ce6a6-c9c0-4850-9af4-965151ee5fd3,Mazda,Demio,1.3i 16v i,PrivateSeller,1400,b,133400,02-1999,4420,https://prod.pictures.autoscout24.net/listing-images/737ce6a6-c9c0-4850-9af4-965151ee5fd3_41344f4f-a6b0-496c-8a21-909b374bf6fe.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/737ce6a6-c9c0-4850-9af4-965151ee5fd3_be8f8334-36e9-4bc1-8c8d-dc30ef3d4952.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/737ce6a6-c9c0-4850-9af4-965151ee5fd3_4fd04d97-5dc3-49f6-a698-47c834a723ae.jpg/250x188.webp,117.69595814517041,8727
c06156bb-f5fc-4940-a8f0-008c59d8c3a8,Mazda,Demio,Belle Mazda Demio CT OK,PrivateSeller,1430,b,133300,02-1999,4420,https://prod.pictures.autoscout24.net/listing-images/c06156bb-f5fc-4940-a8f0-008c59d8c3a8_31023533-5340-4ba2-ad0a-262ab7e42a39.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c06156bb-f5fc-4940-a8f0-008c59d8c3a8_2431d120-7030-4f5a-bd75-81f368a0aa9c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c06156bb-f5fc-4940-a8f0-008c59d8c3a8_0a6c3f21-7bf4-4daa-8c55-8df1c1b501de.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c06156bb-f5fc-4940-a8f0-008c59d8c3a8_e9f92f84-3b66-4bea-acd6-d9ebb393ca4c.jpg/250x188.webp,117.69595814517041,8727
e067c827-127f-4b06-9ce0-b9e3b1ce9c39,Mazda,3,1.6 Turbo CDVi **AIRCO**,Dealer,1450,d,269000,12-2008,1490,https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_f2a03870-c6ee-4711-90db-63ff4898160a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_d907c6c4-c673-4712-b174-108b57c6b5a8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_5b069e04-66ee-4559-9ada-35b4a9935d8f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_d63f2d09-a41a-43c8-ad1f-5d9d519775bf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_8a34b752-0561-48f9-b7bb-1989148a71de.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_63f4a137-7339-4c5b-864e-d711bd432372.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_981573b2-b4a4-47cb-9ca3-d62c9b7afb09.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_70070743-a60e-42ac-b3d3-3f7ba0154fad.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_c9042678-1d18-4afe-8dc7-4fcdd10331a3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e067c827-127f-4b06-9ce0-b9e3b1ce9c39_474fa1d5-3fe5-4904-8732-3490f9a3aaa8.jpg/250x188.webp,93.00820810919008,5136
79baa66c-eb56-4b14-960f-d6a81bb32b3b,Mazda,5,vente URGENT !!!,PrivateSeller,1455,d,247964,07-2007,4684,https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_39414367-e273-4be8-814a-29f9b47f3ba4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_3bd0a584-a4c0-4f6f-82df-f7821560a3e5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_da2eb571-72a9-4fe1-ae4a-2e12379f7c54.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_4b54a2b4-5f5b-4f2a-9eb9-feeed95d3cba.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_84a6eae7-3605-4908-a99d-4e4b2ec2f98f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_0885d277-925e-4618-8401-9083477aa904.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_95abd5f0-66a3-4c0a-a8c5-ee86d0b1eb4c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/79baa66c-eb56-4b14-960f-d6a81bb32b3b_784b1ac0-eea6-4b0b-a76b-a984a3f2de66.jpg/250x188.webp,117.23259981512291,5655
