guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
e901f2ea-b434-4864-944e-b216c02584a3,Mercedes-Benz,E 220,D Classic,PrivateSeller,600,d,400000,06-1996,1070,https://prod.pictures.autoscout24.net/listing-images/e901f2ea-b434-4864-944e-b216c02584a3_30160b4d-7f7b-4151-bb08-ef49013e18ce.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e901f2ea-b434-4864-944e-b216c02584a3_3a37b108-915a-4325-b7bd-13b432f2444e.jpg/250x188.webp,71.06367211068877,9706
24d5c650-71c8-4b70-a40f-720f62668986,Mercedes-Benz,A 140,A 140 i /Airco Benzine Airco EXPORT,Dealer,799,b,207000,10-1999,3630,https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_b5a7ad55-6cfc-42cc-be0a-2b662270ee53.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_68de8b50-4a64-4947-aa73-23fe1726bba8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_eb5f25bf-1bbb-40aa-ad8a-94b7db411442.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_d435b9c3-460b-4556-a7f5-09c0513cc6bd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_5dd4fed2-e1e8-44fd-8c06-ed0d88ef6936.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_d92efa81-3a6d-478b-91e0-7d33668e88e7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_648ccf4a-4e2b-4de2-b95e-0212d6b42a2e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_e7f8ad84-561e-4d53-bfc5-6f92a15d1ecb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_2ed8f2d4-8d7a-4fba-9f5d-b050db418e15.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_06241651-ca2a-4b9a-a6bc-5c1dff922ff2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_7da47595-88ad-4eab-b543-a7f365c75351.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_3b53b272-9b8e-4ba3-9e4c-f73f72462179.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/24d5c650-71c8-4b70-a40f-720f62668986_f6925101-4ab5-47f8-b708-46e50895903e.jpg/250x188.webp,102.97605198560623,8489
0b7de949-6355-4e00-84e0-3f8427d65c2e,Mercedes-Benz,A 160,BENZINE           EXPORT,Dealer,850,b,130000,12-1999,1080,https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_9d457344-e5fd-4528-b994-1dd2c0767d41.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_e8f0ff95-e562-42d6-a035-9baad73d86f3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_03c4d748-9f4b-46d1-b529-440594636ef5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_89390384-f5e3-4c90-af0d-7a4e6aa51240.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_75a91bd5-ad09-496f-8772-85b200ffff71.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_afdc3f86-c62e-441d-add0-6e562dc420cf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_71bce594-1fe4-429c-9924-43b8d8060176.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_88a934c3-17ed-4fc6-9737-efd23a699385.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_c722c1f3-4844-434c-9520-c0755484b371.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_be7cd240-b14a-4095-84c7-681b3066bf30.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_c59e5763-7115-4ed5-badb-babf46321faf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0b7de949-6355-4e00-84e0-3f8427d65c2e_05baf1c2-b3c7-4b68-ba93-3f97964558b9.jpg/250x188.webp,69.57979227671277,8428
ce7b0ca7-9552-47af-8fef-7b278246c6f8,Mercedes-Benz,CLK 230,Kompressor Avantgarde,PrivateSeller,900,b,340000,01-2000,2880,https://prod.pictures.autoscout24.net/listing-images/ce7b0ca7-9552-47af-8fef-7b278246c6f8_d53b0c4c-3b37-4f20-968a-2cb45115ff99.jpg/250x188.webp,47.93429287155117,8397
5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb,Mercedes-Benz,A 170,CDI VOOR EXPORT € 900 !,Dealer,900,d,160000,10-2003,3600,https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_36f5149a-1f7d-477f-9e7f-065387a81276.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_8adf7493-44d6-4b5e-b7e8-219384a4130e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_2e30f27b-7f9b-409f-a0fa-b029be3daf90.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_478e8cce-0caf-40ee-a144-6024f7bbdee5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5e7c4e5b-ba79-4dfd-b0d5-f13e3b320fbb_cba17899-a5ba-4b93-81fa-71578a1ba328.jpg/250x188.webp,91.05707630102727,7028
931aee0a-0f1e-4fd3-80ab-04cd901378e9,Mercedes-Benz,A 140,Classic,Dealer,990,b,170000,10-2004,1600,https://prod.pictures.autoscout24.net/listing-images/931aee0a-0f1e-4fd3-80ab-04cd901378e9_fea2665d-3cf7-417c-bfc3-a7c2ed306f31.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/931aee0a-0f1e-4fd3-80ab-04cd901378e9_4862e7fb-33b7-42d7-8a5c-812ff7ce48e6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/931aee0a-0f1e-4fd3-80ab-04cd901378e9_041e3019-b390-4cb3-b841-3a5285122369.jpg/250x188.webp,78.61296004280759,6662
4000a5d6-bf65-427a-a479-4a0c4d0801e3,Mercedes-Benz,A 160,export export marchand,Dealer,999,b,187000,07-1999,1474,https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_33c1d956-53a4-4256-bcfc-546461ce50c7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_fa8403ea-8535-42a6-b87b-eec9fe047b94.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_dc90da51-1007-4033-9c22-3c9885faa5d8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_9b9d9d9c-6360-408d-b672-8accbb8d341a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_a5cbb106-0d6e-4758-91c0-ab1674e1e5f0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_7730cc21-d63e-4418-8eb4-f446cd38ad3b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_3ef652a9-d728-4669-9133-8b8205902d66.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_0771b95b-3cdc-458d-8390-a63d5e7eba5b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_cc86852c-9aa9-41d7-85c3-1c5a60a36420.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_04329a4c-a181-48f0-80c0-c0ba843a3746.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4000a5d6-bf65-427a-a479-4a0c4d0801e3_d36d813f-f115-4a13-84be-3010ecf8209e.jpg/250x188.webp,95.27246720237129,8581
b566d15f-9323-4dce-a779-dfeb894767d8,Mercedes-Benz,C 220,CDI Elegance,PrivateSeller,1000,d,328000,10-2004,8310,https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_3e066f8e-b231-4196-aabb-5bc8a9ab6fa0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_48564594-1391-480d-8ceb-121c4ecb4a78.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_44491944-1528-4169-a099-b515457dbaec.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_6cbc6d40-be45-49db-b80f-78dc0df0b701.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_d9939971-2540-480e-83a6-575cc3751fa6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_097bc793-f2f3-49e9-b43f-78af047176d2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b566d15f-9323-4dce-a779-dfeb894767d8_59906443-6f41-47df-a691-c251b20c6345.jpg/250x188.webp,89.62690218529877,6662
badb11d8-a908-4cc7-be0b-ff51183122b2,Mercedes-Benz,C 200,CDI Avantgarde DPF Sport Edition +,PrivateSeller,1000,d,75800,12-2006,6031,https://prod.pictures.autoscout24.net/listing-images/badb11d8-a908-4cc7-be0b-ff51183122b2_ea787846-4996-4e82-b7e4-715104324db8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/badb11d8-a908-4cc7-be0b-ff51183122b2_41c2780a-9197-4b99-bad5-93327b1918ca.jpg/250x188.webp,117.04479587125066,5871
84e39942-f7f5-459f-840b-9812c9b89510,Mercedes-Benz,A 180,CDI Classic,PrivateSeller,1100,d,326857,06-2006,1190,https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_e212e337-7bf4-4c91-97d8-333932dcba4b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_79ccfa5d-6560-4707-ab2b-7a5709db9039.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_c185a3fd-d989-4566-8316-5d52b8430b1f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_eb402e1a-ebd9-4713-9dfe-fae30d5d55e3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_dfbbd26c-9026-4a4b-a236-c0c2c2ed908d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_5657b143-68d9-4302-a216-6aeda9d42c63.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_6528d454-b903-4ba2-8dd7-075c866607ba.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_46b72316-7b22-43ce-b8fa-e95dfbcb74da.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_52a39b52-e2b4-4e76-8b96-07787296ff77.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_08facb54-a4d3-4697-9ce0-474b1e2f2b81.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_7c726eaa-c245-45b4-859e-adbdd231d985.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/84e39942-f7f5-459f-840b-9812c9b89510_15724c27-cf20-41c0-b877-caecdcc65793.jpg/250x188.webp,73.06612059240499,6054
