guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
4b58600a-fcb2-4feb-a0e4-8654cca134f0,Nissan,Cherry,Andere,PrivateSeller,650,b,123550,07-1986,https://prod.pictures.autoscout24.net/listing-images/4b58600a-fcb2-4feb-a0e4-8654cca134f0_2fdc003b-2895-4bf5-b105-45808608879e.jpg/250x188.webp,9968,62.54265668381387,13309,48
5ac013f7-2926-4953-b8ac-d1e9498df828,Nissan,Primera,Berline,Dealer,850,b,167844,11-1998,https://prod.pictures.autoscout24.net/listing-images/5ac013f7-2926-4953-b8ac-d1e9498df828_69f6c27a-bf1c-4adf-b01f-6a50ed624476.jpg/250x188.webp,9280,57.52425726435139,8803,30
263851b8-bcb1-44e2-a070-3bf81baa95ed,Nissan,Micra,Andere,Dealer,900,d,400000,01-2008,https://prod.pictures.autoscout24.net/listing-images/263851b8-bcb1-44e2-a070-3bf81baa95ed_cda386fe-3855-4ba0-a6d1-47554ba2d944.jpg/250x188.webp,1840,54.29299877782283,5455,223
f51c0251-d2ee-4689-997f-e5c929eaaae7,Nissan,Micra,Andere,PrivateSeller,999,b,131500,08-1998,https://prod.pictures.autoscout24.net/listing-images/f51c0251-d2ee-4689-997f-e5c929eaaae7_bc1b4405-343b-49f3-95c1-86dd31a0e79e.jpg/250x188.webp,1850,59.738651260413086,8895,68
b865ea5d-f141-4fbb-a7d5-d22f47fc2a1a,Nissan,Primera,Berline,PrivateSeller,1000,d,151000,04-1999,https://prod.pictures.autoscout24.net/listing-images/b865ea5d-f141-4fbb-a7d5-d22f47fc2a1a_9b9495d7-61c1-42d3-8c3b-66243498206b.jpg/250x188.webp,5190,108.63324346377956,8652,79
80fdcb81-b0f6-4366-ae41-2043aa92a1b2,Nissan,Almera,Berline,PrivateSeller,1099,d,248102,02-2003,https://prod.pictures.autoscout24.net/listing-images/80fdcb81-b0f6-4366-ae41-2043aa92a1b2_a86d4844-021d-4246-93b8-715dd33925bd.jpg/250x188.webp,6020,116.87427855072593,7250,170
2d5d9120-f119-418d-a260-bfff589717c8,Nissan,Micra,Andere,Dealer,1200,b,129000,05-1994,https://prod.pictures.autoscout24.net/listing-images/2d5d9120-f119-418d-a260-bfff589717c8_85316f71-1ff6-4f0a-ac05-fdb3ef7e1f92.jpg/250x188.webp,8791,102.62748120507626,10448,10
1efd0aa7-a266-4d40-8cf2-11edd74d1c5c,Nissan,Micra,Berline,PrivateSeller,1200,b,156807,08-2003,https://prod.pictures.autoscout24.net/listing-images/1efd0aa7-a266-4d40-8cf2-11edd74d1c5c_328c3ec4-71d7-4198-8579-753d68238459.jpg/250x188.webp,5030,102.63381600593108,7069,33
8c53bbe6-01f3-4ce6-b23a-26a28dd35e1b,Nissan,Micra,Berline,PrivateSeller,1200,b,178000,10-2004,https://prod.pictures.autoscout24.net/listing-images/8c53bbe6-01f3-4ce6-b23a-26a28dd35e1b_b469ed94-fc07-4a9a-b1a7-9fe07f3bd007.jpg/250x188.webp,4850,132.6707282521058,6642,134
d94aca03-d3f9-4286-b40a-1d2e0fc80484,Nissan,Note,Monovolume,PrivateSeller,1250,d,220125,02-2007,https://prod.pictures.autoscout24.net/listing-images/d94aca03-d3f9-4286-b40a-1d2e0fc80484_fd897744-abdb-43ea-a5d8-d6d34b659220.jpg/250x188.webp,6600,187.94933034168892,5789,8
