guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
f3abacc5-99cc-276f-e053-0100007fe5fd,Porsche,924,A,PrivateSeller,4000,b,60921,09-1979,3510,https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_d309a104-d9d5-4283-abed-45a0e434a5cf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_ad7cd307-0908-4c1b-a870-ce8ff6b12e07.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_ac482c7c-8e95-429e-93cc-daa03cd42439.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_b38b3936-b6b3-487b-8b8e-ba4f52472c9a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_ae64cd84-0c64-4a38-96a2-d1fa38e36613.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_2e4ab1da-3217-4640-9577-3af988fc7db9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_2d304d3b-c966-4673-a2fb-ce19d69df3b8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_b1d07ce9-828d-4351-a91a-656f6617621b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_3805a4b4-8a3a-4bcf-8085-d71976200099.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_0b1b58d5-b618-4fb2-8ba1-72a63f3ee516.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f3abacc5-99cc-276f-e053-0100007fe5fd_d2c2f04f-6cdd-4034-b491-ec5a2e2f5af0.jpg/250x188.webp,78.62636142772035,15814
64e9edf7-17aa-4ce9-b433-1071321d25cc,Porsche,924,Turbo,PrivateSeller,4500,b,46937,01-1979,9690,https://prod.pictures.autoscout24.net/listing-images/64e9edf7-17aa-4ce9-b433-1071321d25cc_dc3ebe84-75ae-4094-bed9-6c5d92148b86.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/64e9edf7-17aa-4ce9-b433-1071321d25cc_da58d14b-1e47-4927-bf56-97e757ea8df8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/64e9edf7-17aa-4ce9-b433-1071321d25cc_516d5dab-764c-4d92-a08a-b4573f07d22a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/64e9edf7-17aa-4ce9-b433-1071321d25cc_e44c3b1e-581d-46b2-ae0f-2001e5848385.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/64e9edf7-17aa-4ce9-b433-1071321d25cc_6c5ae521-346b-4010-aab2-113c74a68f07.jpg/250x188.webp,100.95775759375138,16057
56426d84-b748-4689-8a5b-b430286572f3,Porsche,Cayenne,4500 Cc V8,Dealer,4999,b,219000,11-2003,1325,https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_bbaeb04d-0e65-4a9e-aaf7-8ec546433f6d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_dd8e86f9-0f10-4c65-a614-3fb078fdbba5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_3f067ddb-faab-4ab8-93a8-d5344e70ac44.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_08a95718-d450-43b9-b929-4ec179aa94e6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_ecc26695-a0d7-4f0e-93bf-0566183e7646.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_9168e764-df74-4a03-bacd-1c569b0bcab0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_856ab02f-4650-4473-a4a1-9a869c208492.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_115ec73a-35d8-4d02-9f1f-85f9a07378b4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_9af1b59a-1e42-41c8-81cf-ce1f4fa4153b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/56426d84-b748-4689-8a5b-b430286572f3_d355595f-1055-444b-a746-8b8049586752.jpg/250x188.webp,85.97978805911903,6987
5dd859c0-3136-4795-8cc7-f5414a239b27,Porsche,Cayenne,3.2 V6,PrivateSeller,5000,b,185000,04-2004,9940,https://prod.pictures.autoscout24.net/listing-images/5dd859c0-3136-4795-8cc7-f5414a239b27_2855ac49-9e2f-454a-aed0-1ff128eb7f22.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5dd859c0-3136-4795-8cc7-f5414a239b27_174e2b9b-ecc5-4bf8-8c7f-e785a8d4be90.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5dd859c0-3136-4795-8cc7-f5414a239b27_4f37bb23-46db-4caa-9a0d-19b7c231c491.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5dd859c0-3136-4795-8cc7-f5414a239b27_e79303d5-a4dd-4bbe-acf9-ad20936998ff.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5dd859c0-3136-4795-8cc7-f5414a239b27_0712a54f-21dc-4eec-a098-6072121c0d01.jpg/250x188.webp,62.66558746753047,6835
4dfda5f7-8057-4012-be96-cbf508ffb460,Porsche,924,"special edition ""Le Mans""",PrivateSeller,5000,b,148533,08-1980,2920,https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_6ccc0e7a-0a80-47e2-881d-7ce863323790.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_4d9c3afb-feb6-41a9-ad0a-8d3f591454b8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_b1afe081-e361-496a-9298-69450d299789.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_0dbbdabb-31b9-4a71-a0b2-1c64839492f8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_99649b00-11dd-4aa3-9ff1-96aa2b273bef.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_6c08d70c-5962-4e0f-83be-41103ab01e7e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_e2a37747-97fa-4b0d-99d9-cf6561165416.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_ae612c2d-3238-4499-8e70-1527bfd1ce9a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_aac9fd6d-e2d6-4004-8321-49447967cbe2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_2999da3e-77ef-4167-a608-4d05d845f34f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_8008890c-bfa6-4e44-98e1-57a246c3e98a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_0406d873-9b36-41d9-99c6-fa9e7016f101.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_ec1a4ff0-4d02-4245-b17b-9dd61b1803a8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_6b3c1114-67d4-4222-8d94-375fec4a9140.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_79ac848e-939f-4960-afa4-5c28b4b63129.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_a9fab138-3f74-4ed6-93f3-580ae24a4dff.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_03e4e275-e558-4172-bd7a-4b34b2cae57a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4dfda5f7-8057-4012-be96-cbf508ffb460_33ab3a18-264c-4f60-b39f-9942dc35c788.jpg/250x188.webp,9.296058813361997,15479
71e18918-b875-4c4a-8cb5-637d27fe27fd,Porsche,Cayenne,4.5 Turbo V8 ENGINE PROBLEM,Dealer,5250,b,316000,02-2004,2300,https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_08fc53b1-e8fd-4a60-a234-df533528f445.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_772d0d8e-3c7e-4027-991b-6dbb6053125f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_3c74c889-ee2a-4c6f-bc6f-ce0698440f2c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_7eb31481-c191-446e-b84b-499b4c1d2e13.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_784b0b10-b5a4-4b52-b27d-352f3c2884f0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_b75a7100-775c-43b1-b796-cecf3f6c943f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_5e9d6ffb-ebf0-41a3-88bc-199370f89556.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_3bf907ed-0699-4d4c-84ee-27a34e93746f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/71e18918-b875-4c4a-8cb5-637d27fe27fd_f0a1331a-8304-476a-b300-d9975cb2f1b7.jpg/250x188.webp,36.751136569594,6895
07d53934-32d3-4cf0-bf4b-cc74f0c940fc,Porsche,944,TARGA CALIFORNIA INPORT run and srive,Dealer,5900,b,97000,01-1985,2030,https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_8a889f99-51f4-4844-9575-ef0cacb1e473.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_58e24797-313a-498a-8db8-3533727931c5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_587b6d0f-7711-43a8-a733-fca02820925b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_82d8646d-fd1a-4435-8162-99b0a133aa12.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_fa8d2ec5-66a7-4329-bf64-35e875a632e7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_da32dfe7-7bb8-4132-af15-b331aff30b10.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_8e8709cf-61a2-4dc7-ba20-7e0b20440a83.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_41b4afae-aaa7-48b7-a255-f511a458e885.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_b443fd4e-990e-45a0-a3aa-e39e0494c57c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_7e886ce5-3f86-48fe-b12f-ce74b4347249.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/07d53934-32d3-4cf0-bf4b-cc74f0c940fc_e10e894f-a5e9-4f2a-8f9f-2b7f73e8d83a.jpg/250x188.webp,27.94913546724415,13865
a735b0f4-978a-4936-8e4a-1ddadd902f96,Porsche,924,Targa,PrivateSeller,6500,b,840,01-1978,3150,https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_d10539c3-9f25-416d-91b4-e8512e8f5118.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_b295ca59-9f30-437f-9fef-638835749612.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_bb71c77e-163c-42ae-a998-c2d1f2e875a2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_0d37ddc0-20d3-485e-8947-1cd3771ead48.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_b571e353-df25-4679-8965-6044b4e45200.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_df3398c2-b4b2-40c1-800d-35bf58a981d3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_89133d84-c31f-44a5-b881-692f263c706d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_6427715e-6bb1-4d3e-8733-e3acc170068b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/a735b0f4-978a-4936-8e4a-1ddadd902f96_789b0e21-00bb-4f75-a004-fcb971c9e299.jpg/250x188.webp,57.64276308921818,16422
814f12a2-c048-4bcc-872f-314be6db14bd,Porsche,Cayenne,3.2i V6 24v Tiptronic // Export,Dealer,6700,b,224600,04-2006,1070,https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_20c3c961-9b4b-4f4f-88ef-d83b6ed2f8fc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_e6e46c93-de0f-457a-afb7-305e4e217341.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_e226f662-68c5-4036-bc7c-f565434cdd63.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_90733acb-ac48-4c0b-871a-4f5082d1c9a4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_b6c088dd-d7da-4de2-96d4-efcd2946a081.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_80f1044c-0f43-457d-9fd8-8de650ae5982.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_89a2b5ae-1412-4c54-9666-951906c023aa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_0628bfbc-9234-48ea-9577-d7013068330d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_74f25044-4710-493d-8375-4ef163440be0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_e5069804-7df1-4252-81d9-4c52cd84c872.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_b714e559-80bf-4682-a78d-27f1ab563324.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_503b6358-3a68-40a6-9294-56fdcb87d025.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_263c1c76-bd91-4e51-9948-69489bdbf203.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/814f12a2-c048-4bcc-872f-314be6db14bd_ec889924-e18f-4552-934e-5679f46fa1cf.jpg/250x188.webp,71.06367211068877,6105
49aa2cff-fe52-4e01-a00a-6c97caf4e0c1,Porsche,944,,PrivateSeller,6750,b,130000,05-1983,9000,https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_b861e677-c51f-4448-a457-c76da06d7dff.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_20d8239b-4368-4bce-9c1a-ac37795a5780.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_57befaaa-7ba8-47b9-bba1-5e7ea1b42fa2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_9e469f6d-752c-48a8-88da-5e9729ba56ac.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_74e5e4f0-717a-4cfe-8497-441ef5512162.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_87b8025e-d34c-44b2-a2e3-55e66b654bb5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_8442a2c4-7a6d-409b-ac2c-5da938698229.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/49aa2cff-fe52-4e01-a00a-6c97caf4e0c1_d40d33f0-9dbd-4817-b559-bc22dbf5f161.jpg/250x188.webp,69.99787275902874,14476
