guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
73de5b65-1353-4069-8ddc-04b9f1d952dd,Renault,Megane,1.9 dCi Privil�ge,PrivateSeller,350,d,222000,09-2001,5651,https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_7860cf17-acd3-4c41-a023-9a9ca7abf6de.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_11c72b7d-bc64-4dda-95ee-38b05a3c909d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_86fb29cd-8858-4651-a370-35ff80737915.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_93e9a61b-7c40-49f3-a3ca-4a999850b682.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_455a9fd7-292a-4d8c-918c-ae3f4dd459ce.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_b0ba8136-1ab0-4c09-9fa5-18f893632c99.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/73de5b65-1353-4069-8ddc-04b9f1d952dd_1131b2dd-2826-4bf8-b3fd-e6fe4a8bbd95.jpg/250x188.webp,131.8733569263315,7788
c9585ee1-a20c-4ded-b56b-1ac747d463eb,Renault,Megane,1.5 diesel,PrivateSeller,350,d,265000,07-2003,7033,https://prod.pictures.autoscout24.net/listing-images/c9585ee1-a20c-4ded-b56b-1ac747d463eb_08c3fc5d-08d9-47a9-8f71-49daf06ce7f1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c9585ee1-a20c-4ded-b56b-1ac747d463eb_3b30e211-9af8-4167-8acf-0f07ebe1e683.jpg/250x188.webp,120.92234590410432,7120
e255162e-f1d1-4bb9-bf7a-e143cfe290b1,Renault,Clio,essence 2004,PrivateSeller,500,b,210000,04-2004,1070,https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_3a31326c-0112-4760-8cf0-90699fbcbf39.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_5d3a3079-8ebe-424f-876f-e9904de08b1a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_47403f1b-bdbe-4326-9b75-b4e2b635b5c3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_91b8dcc3-51aa-4894-aed7-05dda2d5829a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_1e1ac40e-2037-4b4e-b7b2-ee019b81e6ba.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_ca698af0-e083-4ae2-9560-e5b991af4527.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_83067826-7a41-4a3c-8d10-69768f3448e1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_2737bfe7-3314-4e8a-9e5c-d0064ded0e0c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e255162e-f1d1-4bb9-bf7a-e143cfe290b1_21973d4f-502e-48d1-92fa-1d70896e85d5.jpg/250x188.webp,71.06367211068877,6845
7602028d-f62e-4899-a96b-a989ccbe6e45,Renault,Clio,1.2i 16v Authentique,PrivateSeller,500,b,152110,06-2003,4100,https://prod.pictures.autoscout24.net/listing-images/7602028d-f62e-4899-a96b-a989ccbe6e45_fdbfa6c7-2b00-4ab9-93a7-8fb33f68f1fc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/7602028d-f62e-4899-a96b-a989ccbe6e45_a418b3b3-3218-43df-88bb-b77d96379e81.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/7602028d-f62e-4899-a96b-a989ccbe6e45_6b46638c-7894-489d-8e2b-d60e44b113ac.jpg/250x188.webp,122.70999344916741,7150
f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac,Renault,Scenic,1.9 dCi Avantage,PrivateSeller,500,d,143000,11-2005,7340,https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_5cea8328-6baf-4ef6-b7c9-6b62d303fce4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_f1d5bb95-85fc-49c0-8974-d38a1e9ac42d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_a1b2fd73-5a99-41f1-8046-c1b64a9d6b46.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_40bf8de9-3a01-4755-96c4-edef65115e9e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_1058af41-f71e-44e0-9b8c-533cc7533b03.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_d35162e8-bac0-45e0-bdee-fa88fda1f728.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_c9e9b955-eba0-47a7-b5a8-e0400ee354e2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f03e0e94-a94f-48cb-aeb5-c53a3c4dbfac_bcc6c481-e772-475e-a538-ede3bd1c380a.jpg/250x188.webp,126.38155252550393,6266
6ee5e9a0-9070-4835-96f9-aba81fbc973e,Renault,Megane,Cabriolet 1.6,PrivateSeller,600,b,235828,08-1999,8750,https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_fc856f20-513b-4081-a6a4-4b332118725a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_f01c1c2a-1f66-49f4-a796-4fbb01edb8af.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_bf8cfca8-364d-407d-a5d7-8ac20fc815b5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_b853f7f5-c2c9-470e-9b8e-51a94dce4741.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_1c44591e-b486-4fd3-8ba6-ba4e7918e204.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/6ee5e9a0-9070-4835-96f9-aba81fbc973e_25fc69b6-ff0e-47ae-b13b-7cf86f1022bb.jpg/250x188.webp,96.74230879221473,8550
0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99,Renault,Megane,1.6i 16v Privilège,PrivateSeller,650,b,107214,09-2002,1853,https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_24f312ce-c14d-456d-920f-e6e19f0b5974.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_429e649c-818e-410d-823d-fc9ed1f621a6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_fded11be-acdc-463b-b4c7-88450c4e9622.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_e535b43b-e895-40ac-b835-c1c83e880477.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_51c8b607-cbca-478e-b5bc-f404af2e0d97.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_add98f14-3614-4963-86ce-39cd88a0cae1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_cf236f9d-1d79-4494-b95e-4a518f43fed3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_993f2eae-d881-4719-ad59-1eb7a1314fb6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_1832fbc3-d47f-40f0-b691-7f164829f071.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_71cea7e2-eb32-46e3-adc1-a0b5504ea614.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_9647696d-8fa0-443a-9219-fc166bb48801.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_1eb02206-7c16-48e5-8d78-826679902ba7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/0f1fdb99-a7a3-4a54-8e24-fa7339bf9f99_04677c3b-2e3d-4b50-958d-a753dfe0885a.jpg/250x188.webp,62.49120970441575,7423
bd3f3f42-8daa-4e20-975b-a1b022017f6a,Renault,R 5,Prima,PrivateSeller,675,b,117000,01-1990,5170,https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_052808d5-0e1a-4297-a561-ac58e8cdd82d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_616e9682-50e6-4fe2-b2d9-3e9320a7847a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_711f316e-db2e-44f9-b8e7-48f7da857f76.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_21352cff-0854-48dd-a90a-ee7c00dac1fd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_84444502-dd7e-4334-a3fb-5f2f8f895f67.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_83de7642-686c-4ba8-9efa-7ed691f0a8e9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_391d0cb1-0fb8-48ca-aae4-4ed81c580843.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_6761392e-519e-4655-9556-201f7ca71d88.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_b3ca17b7-3efa-4ced-9053-524b6b630d30.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_0ea44cd8-829e-41db-a6e6-f21239ff22c9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_3765651b-0393-4d54-acfe-811f3ebd04b8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_7c93bd90-58b3-41d3-924c-85bdd13a825e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bd3f3f42-8daa-4e20-975b-a1b022017f6a_1d6f32fa-3334-4346-a42d-7aaca557a36e.jpg/250x188.webp,123.91459628158174,12049
5d9780d3-c387-4b3d-a26e-1a3b59e2c469,Renault,Clio,1.2 Authentique,PrivateSeller,700,b,220000,12-2002,4020,https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_0a4c4986-b25b-42dd-89a1-2e337ba3f2d5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_93482e68-2fe0-4821-9043-2d7338971528.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_a1beab22-3bf6-4f62-945b-6fb8c8273e52.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_f2a748fe-be9d-484e-9c8d-1611e114c369.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_83218d56-a17f-49ba-932d-6e47d4b7800d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d9780d3-c387-4b3d-a26e-1a3b59e2c469_d81e4dc9-87c2-41fe-9a51-300c1ff81f54.jpg/250x188.webp,121.60247278825214,7332
ec56387e-d8f4-4c0c-acce-5a55423595bf,Renault,Scenic,1.5 dCi Privil�ge Confort,PrivateSeller,700,d,195000,10-2003,1933,https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_1a95e7eb-c020-4d67-9cb1-8e91efee3529.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_ef2b1358-6635-4ac9-8f21-158bff9f5aa2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_d7bcda95-a6c8-439f-8f4b-c9e29a02fb72.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_916e5a1a-9895-475c-b6f5-6938e599d555.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_588cb5e2-621b-4f5f-a005-272b60752125.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_47e42796-da9b-4feb-93cb-1fb4e19d412f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_14e3ba84-5bca-46a9-8a71-924050a7f795.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/ec56387e-d8f4-4c0c-acce-5a55423595bf_543fe286-13b3-4958-a604-a24d2dbf6c68.jpg/250x188.webp,67.42863651453277,7028
