guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf,Skoda,Fabia,1.4 TDi Elegance,Dealer,450,d,200000,08-2007,1360,https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_2f0e9d02-cfc7-4c50-8216-57ad3a2e8fef.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_922bb07b-d6c3-4419-8340-1717dde20062.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_21567823-10e7-4513-a68f-1c0e2cf2bb2e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_9f520d0c-2afa-404d-a0c0-6fb6a9a8393a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_6441ba6e-2c88-489d-a87d-e5de723c3a54.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_45a5b449-920a-4d1f-a83f-8f7fba65dce8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4a20f87c-c0f6-42a0-ba62-56e6a0fe2cbf_863eed1d-e02e-4a1e-bf36-4cf876d0e95c.jpg/250x188.webp,94.96010137768063,5628
9608e809-35cc-4e80-bc52-1e1e27b1e772,Skoda,Fabia,1.9 TDi Elegance,PrivateSeller,800,d,280000,05-2002,2660,https://prod.pictures.autoscout24.net/listing-images/9608e809-35cc-4e80-bc52-1e1e27b1e772_6cb6306f-3b8b-40d6-8c0c-0496086a1614.jpg/250x188.webp,33.51153490320288,7546
4bd8d9b3-3eb0-4eea-9435-41124d083860,Skoda,Fabia,1.2i 12v Classic,PrivateSeller,1200,b,268000,01-2005,5560,https://prod.pictures.autoscout24.net/listing-images/4bd8d9b3-3eb0-4eea-9435-41124d083860_c3a979dc-1be5-4041-9cff-83f403f0188c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4bd8d9b3-3eb0-4eea-9435-41124d083860_c9e31dad-be7b-4e98-9f23-b582d2370318.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4bd8d9b3-3eb0-4eea-9435-41124d083860_3f51b84b-efdb-428b-ac19-c98ba0f9570a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4bd8d9b3-3eb0-4eea-9435-41124d083860_b0bc1290-1505-4c03-8bd0-4e1a1dfbe12c.jpg/250x188.webp,146.84133833743593,6570
8eb17089-c8b5-481b-9415-92f5ef19b81d,Skoda,Fabia,FABIA COMBI - 2005 12v Elegance   ct ok,Dealer,1200,b,156000,12-2008,8791,https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_57745e6e-343c-4fdf-9d23-ca3ce3ac9de6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_c3d15a8f-c601-4046-b34e-cd5e594902e4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_6425f088-15d7-456f-a661-969097352503.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_ee6cbdc3-cff0-437d-a473-7904cf1eaf75.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_bf8bd582-420a-4aec-8a32-a00834894eeb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_3c8ba7f3-7d18-4b9d-90c1-0f3409fb75ab.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_b6a9e278-28b6-49ad-8c85-5e2b41dbd32e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_92885586-2518-41aa-b26a-b3ed7b808ed3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_4bcfc822-0409-4de2-bb57-7b8fd293b6dc.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_1c9a62d3-115b-4bf4-aa87-1bf660856e75.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_24bb785b-c176-4a86-b6c1-39db7fbb9466.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_3d82c436-93f9-41f5-a0a6-035593be9b1b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_413e22f0-470c-4b10-ad32-8edda97fefa5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_f85e03b4-736e-4a57-8bd3-93c2f227715f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_ca861942-214d-4336-a9cc-496bd7a88b30.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_d21709e3-e479-4906-ae30-ab96b499c915.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_7c941425-88c5-4ca7-902c-3aba8696ad33.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_4d164b9b-2320-4387-9ce4-371431b11686.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_ff053a54-d66e-4713-a0b3-b08873d3a582.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_02680380-85db-4947-8e2b-b8e19e665d3b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_0ee99a07-10cb-4d48-9942-6bc70b122d3b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_660836b2-85d2-4409-931f-78161c6342e7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_04274c50-17e9-43b3-8222-088064646315.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_e4aaafc4-2b55-4ff4-9298-972202dac55a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8eb17089-c8b5-481b-9415-92f5ef19b81d_d1118d2b-4171-4b58-9c62-e99ca0ce4b22.jpg/250x188.webp,102.62748120507626,5140
5946d732-5459-4f2e-9e4c-0b560d914bfd,Skoda,Roomster,1.2i benzine euro 4 2007,Dealer,1350,b,209000,01-2007,9860,https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_d5eba1c9-f31b-4000-b503-a300e1c4be9c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_19a47976-00d8-44ea-8342-833711374c5d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_0b70d03e-fb3c-4735-91e7-8c89ede4687c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_5d8dfadb-9b3e-4816-ae9f-2f82ce5f04fd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_5d027a7b-3094-433d-9b66-faf56d452786.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_9797e7f5-67fa-4bce-8317-c2d9d3345ce7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_03584295-7d7d-4040-86a8-39536c9fec22.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_38744005-0256-49be-818d-145e1dfd17dd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_81ecce7f-2e96-458b-accc-cc1342502e9f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5946d732-5459-4f2e-9e4c-0b560d914bfd_7497d2b9-2940-4f08-8f88-8de35e350819.jpg/250x188.webp,75.70525305366282,5840
713a317c-85c6-4575-becd-0ccfcbde7020,Skoda,Fabia,1.4i 16v Comfort,PrivateSeller,1400,b,144000,06-2001,2830,https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_cd9384a3-4afb-4ea0-89b4-30efd039fa2f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_7f0a56f3-7108-4bdf-ba85-6e14a60a861f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_2cc13c7d-96c6-41e0-8b66-6e5f90bb54bd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_5eaf762b-2cea-45cd-b7aa-bd7d6bbccf20.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_4c33e849-dac4-4718-9069-60d7d8f8800e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_0edf4c18-63f2-4757-8230-2b0a2a8e60f7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_882f1e0c-4db2-43c8-9374-d06f8131302f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/713a317c-85c6-4575-becd-0ccfcbde7020_cac6d711-896a-41f4-8a7b-2fcc97397eff.jpg/250x188.webp,45.04397020411872,7880
4e4f9023-d05d-4e97-9f18-e1292290534b,Skoda,Octavia,OCTAVIA COMBI DIESEL - 2001 TDi Tradition,PrivateSeller,1400,d,504000,01-2008,1000,https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_f717cfbc-1ed1-439f-b220-06b24c375ec5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_2dfde1de-637b-48ef-ae0f-b030cb3d96c5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_b6c2e5b5-f80c-46d0-a4b6-a78fe1706b47.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_fb0e15e5-4c4f-4468-bbb0-962e2fa40d60.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_06bc051b-c97a-4813-bebc-439c5c1181c7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_a741114f-0a1a-4ab8-a854-9f05e09e8096.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_99f67158-d9a5-48c5-b534-42411ccea0e3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_3bb72937-47ed-4296-b19e-283b474550a0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_def26d46-1681-47fc-af77-cdca17b76d04.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/4e4f9023-d05d-4e97-9f18-e1292290534b_8a0ad5d9-c715-4a25-b4f3-21ce28bd3ef6.jpg/250x188.webp,69.17270624549755,5475
276b1bca-8c3d-4628-928d-884ef12df5fd,Skoda,Fabia,1.4i Comfort,PrivateSeller,1450,b,203000,03-2003,4841,https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_e6a1ce10-1bdc-49ba-9ed3-c98877148aa4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_e764ab36-ba65-4ec6-95a5-1afbaa298ad9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_4b0ecec5-30cc-456a-b1b6-3a51854f6bd0.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_c360bc57-3ffb-4f3f-8660-713ad9dbb554.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_bb7eab50-f72f-4516-8fc8-71b2c4328e4e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_e6941928-082d-4447-a30c-f11a1fe4a81c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_6e7168fd-6bc8-44f5-8cd0-7435e2a442a9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_8a7d1329-9aef-404c-b14d-048646a3391c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_3b19325f-44ff-4940-ad8d-9bbeff8b6805.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_eb032b83-7a2a-4254-b6b6-33dfd52c77b5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_0afe919e-345f-4358-8f10-8582f6567b88.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_b247f11e-220b-42b3-b04b-3ac5963d10b3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_0a30af5c-a06a-4d21-8b92-e7ffc3442b21.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/276b1bca-8c3d-4628-928d-884ef12df5fd_e6bd9ce8-3ae8-469e-baac-3eb01834ae8a.jpg/250x188.webp,134.74443765062634,7242
bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb,Skoda,Fabia,1.2i 12v Classic,PrivateSeller,1800,b,207985,04-2007,3090,https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_d3ec1a7f-47dc-4ea2-8f91-d44dc6b5bee9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_e4224019-dab6-4a78-8a13-bb6dbb369915.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_936a3d17-070c-4eb9-8091-1739ac985e4c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_3def59de-dd16-4a69-b30e-200ac1f22a5e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_253620ed-d3ed-4da0-ac9c-210000355778.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_5deb785a-014c-48dd-bc79-980a4fd0da88.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/bad5d0da-75fa-4370-a1ce-1ae89ad4fbdb_7b24daaf-59b4-49a5-8616-486f18ffee08.jpg/250x188.webp,77.24958296507762,5750
b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc,Skoda,Octavia,1.9 TDi Ambiente Temptation,PrivateSeller,1850,d,424000,08-2004,4040,https://prod.pictures.autoscout24.net/listing-images/b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc_b3dcecd3-61c2-438e-b6b2-54b7acdc7768.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc_31fab511-df5d-4109-bd0c-ffbc4907ba9a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc_1b67c9f3-eb41-4c66-81c0-4fd64f5f0729.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc_29c2c8e0-e6c6-4686-ab8c-1cb7ebbdbf6c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/b4ec65f9-0bb6-4b14-a3a0-31d13c23a7bc_1ae3eb20-da73-4e54-bfe8-4f3cf6186db3.jpg/250x188.webp,120.39133917274062,6723
