guid,make,model,vehicle-type,seller-type,price,fuel-type,mileage,year,img-url,zip-code,distance,reg-age,listing-age
ddf34f4d-b4ee-489f-9924-c75f9af28dcc,Toyota,Starlet,Berline,Dealer,499,b,148000,07-1992,https://prod.pictures.autoscout24.net/listing-images/ddf34f4d-b4ee-489f-9924-c75f9af28dcc_aabcb6a5-0953-4455-bbfc-4abbf4d0e1aa.jpg/250x188.webp,8791,102.62748120507626,11123,439
6446460f-d1f7-487f-b6b9-aec71e6ca160,Toyota,Starlet,Berline,PrivateSeller,900,b,299963,07-1996,https://prod.pictures.autoscout24.net/listing-images/6446460f-d1f7-487f-b6b9-aec71e6ca160_77d903cd-fdc8-4184-8c05-3fb860283c58.jpg/250x188.webp,4400,117.24460891533398,9662,82
0bf81b9c-f5f3-462d-b153-2025598c0aa1,Toyota,Aygo,Berline,PrivateSeller,1000,b,150000,11-2011,https://prod.pictures.autoscout24.net/listing-images/0bf81b9c-f5f3-462d-b153-2025598c0aa1_b026b1ee-bd80-4a6b-a9f9-4b38a0315e4e.jpg/250x188.webp,1760,76.61048840680004,4061,36
e113b5f1-c73e-49b5-8d03-933c46384881,Toyota,Yaris,Berline,PrivateSeller,1000,b,213000,02-2000,https://prod.pictures.autoscout24.net/listing-images/e113b5f1-c73e-49b5-8d03-933c46384881_2a4e46da-158d-4c9d-bbd9-d7fed642542f.jpg/250x188.webp,4100,122.70999344916741,8352,39
576b517b-f777-498b-9b7a-9d280aa3a0ed,Toyota,Aygo,Andere,Dealer,1450,b,135000,01-2006,https://prod.pictures.autoscout24.net/listing-images/576b517b-f777-498b-9b7a-9d280aa3a0ed_1859b1fa-1cde-4c4d-8fae-a08a66ea9e66.jpg/250x188.webp,1601,76.3100421089918,6191,45
0679eaa3-2587-48dc-970d-f089b8734592,Toyota,Yaris,Berline,PrivateSeller,1450,b,203000,12-2000,https://prod.pictures.autoscout24.net/listing-images/0679eaa3-2587-48dc-970d-f089b8734592_08250936-8315-49cb-86a6-03dc900ea0e3.jpg/250x188.webp,1190,73.06612059240499,8048,177
6467ebcb-4428-455d-9db2-4e329a438810,Toyota,Yaris,Berline,PrivateSeller,1500,b,190000,08-2004,https://prod.pictures.autoscout24.net/listing-images/6467ebcb-4428-455d-9db2-4e329a438810_d432d4de-2cc0-41b1-b2c2-00523fc553a7.jpg/250x188.webp,4511,,6709,16
da2f78f5-5acb-4a85-8c74-358c2822c976,Toyota,Corolla,Berline,Dealer,1500,b,168711,04-1999,https://prod.pictures.autoscout24.net/listing-images/da2f78f5-5acb-4a85-8c74-358c2822c976_1058dba7-129e-4583-a6b1-47104dfac368.jpg/250x188.webp,9280,57.52425726435139,8658,19
22c740af-d60b-4f22-ab7d-14b30112f49d,Toyota,Camry,Berline,PrivateSeller,1500,b,129878,02-1993,https://prod.pictures.autoscout24.net/listing-images/22c740af-d60b-4f22-ab7d-14b30112f49d_da0f2253-b465-4039-9be5-4e9b1247dfc3.jpg/250x188.webp,3900,71.7180365522782,10908,29
e537daae-33cb-45cb-9e68-7f2ff12d4b99,Toyota,Camry,Berline,PrivateSeller,1500,b,129878,02-1993,https://prod.pictures.autoscout24.net/listing-images/e537daae-33cb-45cb-9e68-7f2ff12d4b99_10aedc51-2c87-4888-90c2-b1f6af56505a.jpg/250x188.webp,3900,71.7180365522782,10908,29
9c71b3d6-44ae-4a45-8b33-5a377c36720a,Toyota,Starlet,Berline,PrivateSeller,1500,b,155000,04-1998,https://prod.pictures.autoscout24.net/listing-images/9c71b3d6-44ae-4a45-8b33-5a377c36720a_bbeebcda-0755-47b4-aa49-8f4b3a3c9007.jpg/250x188.webp,7864,92.60837120015225,9023,43
49b9d351-cd1f-4f85-8065-e18ebee11e31,Toyota,Yaris,Berline,Dealer,1500,b,286548,09-2001,https://prod.pictures.autoscout24.net/listing-images/49b9d351-cd1f-4f85-8065-e18ebee11e31_f1089d41-e4fa-4c51-bc3a-64905e2a9f3d.jpg/250x188.webp,7134,116.23444273110738,7774,64
cdc06c0d-7f89-4954-8e80-cb086a2807f0,Toyota,,Stadswagen,PrivateSeller,1500,b,138000,05-1995,https://prod.pictures.autoscout24.net/listing-images/cdc06c0d-7f89-4954-8e80-cb086a2807f0_04891358-6947-49a4-bef3-2045faf80fe5.jpg/250x188.webp,5080,107.31995872763872,10089,82
a732ce91-86ec-4fd7-abd2-26208debe76d,Toyota,Aygo,Berline,Dealer,1600,b,229844,09-2008,https://prod.pictures.autoscout24.net/listing-images/a732ce91-86ec-4fd7-abd2-26208debe76d_c4a5afad-0e9e-45a3-a5f0-7746f25ee339.jpg/250x188.webp,1070,71.06367211068877,5217,1
ba9020f0-51a1-490b-b1d9-54e2a2d28ee7,Toyota,Avensis,Berline,Dealer,1600,b,220000,07-2001,https://prod.pictures.autoscout24.net/listing-images/ba9020f0-51a1-490b-b1d9-54e2a2d28ee7_53f6cd69-8f7b-4a1c-876c-e27963a7b3de.jpg/250x188.webp,1840,54.29299877782283,7836,19
39f1731f-e70c-4e44-9322-0f833ed96f82,Toyota,Yaris,Andere,PrivateSeller,1600,b,210000,08-2004,https://prod.pictures.autoscout24.net/listing-images/39f1731f-e70c-4e44-9322-0f833ed96f82_1c8d64fd-974f-46e2-a457-dc0976a98bdf.jpg/250x188.webp,6600,187.94933034168892,6709,24
377450d1-5ff4-4faf-80c8-7bc6af4bccc5,Toyota,Avensis,Break,Dealer,1600,b,188000,11-2001,https://prod.pictures.autoscout24.net/listing-images/377450d1-5ff4-4faf-80c8-7bc6af4bccc5_0fef4b47-4303-4227-af90-e24aeff4f393.jpg/250x188.webp,1390,80.41314824962016,7713,27
a589ce15-bd84-4d44-a8a1-c7ac2bd28b87,Toyota,Avensis,Break,Dealer,1600,b,192000,05-2002,https://prod.pictures.autoscout24.net/listing-images/a589ce15-bd84-4d44-a8a1-c7ac2bd28b87_c107413a-7428-4d88-be19-b220c9159084.jpg/250x188.webp,1600,78.61296004280759,7532,34
