guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
c0ed3803-6d7c-4ee6-9859-6e94175b1873,Volkswagen,Polo,,PrivateSeller,350,b,198000,12-2004,6440,https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_8efc327f-3022-4a87-94fc-04214351d84c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_883cc073-0ceb-462a-b196-22d1af60403b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_5fe86363-b0b5-4b02-9387-d799ea68ff81.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_73cb1600-ced8-462b-b2bc-711a54cb25ca.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_214e8f8c-f09c-4af5-9a2e-d2f3bcf43b88.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_c84c62a7-23d4-4aea-8e4d-472e526f2110.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_589b794b-aecd-49d6-9a75-b93fe59c5a7d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_6738d50f-e714-42a9-8b15-d2dbbeff5e9b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_48f560a3-711f-42f0-aa2a-65d4515458c6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_6b07ba48-e832-469d-9605-23e7b85d7b94.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_eeb82416-a81f-44db-acea-18f0b9726826.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_16079ac3-40fa-4b59-9f52-461504ab22a5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_9d0a8ba5-bee0-43cf-a72e-6ebb4894ea45.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/c0ed3803-6d7c-4ee6-9859-6e94175b1873_15cd3ec2-d7f2-474e-8b63-2c25969ddfce.jpg/250x188.webp,141.40876452366408,6591
32906a46-1628-4780-b884-86beabcfd2dd,Volkswagen,Golf,1.9 TDI Individual,PrivateSeller,400,d,330000,08-2000,2570,https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_e1de77ae-0213-4355-90cf-054555e5cae7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_b81e955d-8498-4aeb-9b8a-6d72083c5d90.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_d2311165-f043-4e7a-bf5a-ff8d751e59f9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_2330f1a5-15fb-4584-ba7c-ed2b2a881820.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_af59e1ba-d6da-4dbc-9037-bbd0e920e87a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_d4937ea1-23d8-4f3b-8c57-b21225bb0558.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_e8a51a69-d993-47af-ab2c-7f323eb63def.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/32906a46-1628-4780-b884-86beabcfd2dd_d864d3be-8d30-47ac-880c-53b8d90a6355.jpg/250x188.webp,41.502398539267695,8174
10ca454d-2f9c-40ac-85f5-3c1a699874c2,Volkswagen,Polo,1.6i,PrivateSeller,500,b,159000,01-1996,7301,https://prod.pictures.autoscout24.net/listing-images/10ca454d-2f9c-40ac-85f5-3c1a699874c2_a23549f7-9dd6-491f-a0ab-abf8e6ad95d9.jpg/250x188.webp,123.56105896109892,9848
f8214077-9a93-41db-9873-8d6b1b2ae802,Volkswagen,Polo,1.4i Open air,PrivateSeller,500,b,199777,07-1998,1040,https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_3821c2b7-edfc-4b53-8e25-40ce3ae97c73.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_bb16f3cc-625e-4743-b7f3-611c17f45ab4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_fe31456d-9d03-42e4-a06d-3e2c12621306.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_2c430d31-f2de-4997-978d-d257c7fea207.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_59f01aab-791e-4cae-9036-15a7e6bcf6f2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/f8214077-9a93-41db-9873-8d6b1b2ae802_1142c2e5-1c51-453d-ae3d-ccf2f5ddd547.jpg/250x188.webp,70.85448790939559,8936
7070870f-28a4-4b80-9f84-021318c99da3,Volkswagen,Caddy,1.9 SDi,PrivateSeller,500,d,230000,10-1996,4920,,138.78209404804628,9574
8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b,Volkswagen,Lupo,1.0 ABT Catalyseur volé,PrivateSeller,550,b,172000,10-1999,4000,https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_9d3277f4-6a59-415f-b4bd-a426aac94d52.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_d3b73d71-846c-44b2-ba9a-93670bc3cd58.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_dc93df5a-afcf-4829-a66a-4ddf57a3c475.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_42042f83-2494-4439-9da6-a8f18ef61dda.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_2b1a2099-af7e-4dc5-8033-d5f8c6d57713.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_07223f54-3ce3-49e3-8c52-c176f1efc5b2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_c42595cc-d8cd-4445-9aa3-123682895120.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_9bb1361b-6759-4847-85b7-ddf34172f568.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_dd58ff92-840b-46cc-8d2f-2db13e036266.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_1f8e0eaa-f36a-4194-8f46-26c1cbddba91.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_895a157e-79c2-40dc-957a-b7a8459c681e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_cda49c62-1b6b-47ee-8fb1-9b403054f42c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_73dfc31b-91b6-4226-86a9-1b5955d06327.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_803f08cb-3098-4faa-9255-9084c5dec5d6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_74ea7956-fd20-41f9-b4d9-1554f2b52e99.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_a0461495-c41f-40ab-a757-eb70910a3de5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_cc4cf1cd-4f9e-4657-9b63-ed68515f3fb7.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_f6cac3c6-06cd-4a33-afb0-82da1eddd267.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_03abfd2c-f69f-4613-8605-3bee07dee8b2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_af103f4c-1d1b-4dc5-95b1-d84535410b5c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/8f04643b-fdd3-4fc2-b5c2-e4dfeb39315b_270ac34c-32df-423e-a3c6-8ee64d39516c.jpg/250x188.webp,118.53949006185148,8479
5d1389df-29db-493f-8453-f917cf9b3847,Volkswagen,Lupo,1.0i,PrivateSeller,600,b,230000,06-1999,4400,https://prod.pictures.autoscout24.net/listing-images/5d1389df-29db-493f-8453-f917cf9b3847_83f29d9c-fc91-431e-9cd7-ed33d803cc44.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d1389df-29db-493f-8453-f917cf9b3847_609e2469-fd1c-47f5-a04a-830d5d8e5b56.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d1389df-29db-493f-8453-f917cf9b3847_2837da46-532e-4b5f-9411-508c406df51e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d1389df-29db-493f-8453-f917cf9b3847_2ae295ab-99cf-47f6-8d5e-1f9a6bb31154.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/5d1389df-29db-493f-8453-f917cf9b3847_4f7bbb31-7077-42d7-b31f-e11eaa05cf1c.jpg/250x188.webp,117.24460891533398,8601
d418e932-6c58-4bb5-99c3-a7867f9e08de,Volkswagen,Golf,1.9 SDi Base,PrivateSeller,600,d,320000,10-2001,4020,https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_e8321a11-141a-463f-8335-2b6203943213.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_636f2efa-bf41-4c4d-85c6-d62db0d195c3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_cedc98eb-45a6-4b46-8e6a-25dd8d27e179.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_dbdc631a-c8af-4018-a121-347f70f0fca3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_423df336-f4e4-4357-8584-f63066420155.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d418e932-6c58-4bb5-99c3-a7867f9e08de_89459d6d-57f8-4bd8-b21a-3b78d9287714.jpg/250x188.webp,121.60247278825214,7748
68ec4fd9-9330-4051-aaec-e945e20aab88,Volkswagen,Lupo,1.7 SDi Trendline Open Air,PrivateSeller,600,d,240000,06-2002,5300,https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_07f88ba5-f250-4735-93bf-a25abb80ca84.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_54b4e29e-e354-4730-843e-2232a0a16d9b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_b61699c3-51b2-4e33-94a5-62e436f04b5c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_ebda13c1-839b-4c8a-8d68-b250bae55433.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_794cb4ef-92ce-48a8-b36f-c7715f7b206f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_9355a910-aa6b-42ba-84bb-5088656d449a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_095eb269-6582-4f9a-a73b-1cf58ec0e1fd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_12cd1ef5-3dd5-40b7-b720-9e6d1aba401c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_7e6b9d01-e6c2-40d8-8896-7a3da53ebbb9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_37706cea-cb9f-4b8d-b304-f3402b997ad8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_cf26f7cb-7ce0-40be-ae0d-d8c607845386.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/68ec4fd9-9330-4051-aaec-e945e20aab88_6772eddb-64c6-4816-9703-484ee3ed6161.jpg/250x188.webp,113.30647041751955,7505
e40ee2cd-7d78-41ab-967f-e50920e90f14,Volkswagen,Polo,1.4 MPI 16v,PrivateSeller,700,b,174198,01-2001,5170,https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_fd1ef067-c59d-4597-b07e-d8ea2448e8d4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_6578824e-2a93-4335-be62-c0f75ac6b6df.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_1a413bc9-94e0-4953-a731-9c12f0d754b4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_1f8bdc36-c459-47e8-9f15-9fcfcfe93ad3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_50668753-54ee-4ee8-9d21-3d6571a5a08b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_16e62465-44be-4f5f-afce-40f8448164c8.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_d3ae56b1-f730-407d-a6e0-85e201b0dbb6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_511aa5a2-b48c-4f3a-9920-3e3f177fea7a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_eedb8f4b-e30a-472e-ac33-6fe8f0049946.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_3bca990d-1c3b-458f-9807-a4e1a1c59bab.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_39faf610-b1c0-4626-aebf-9d6fc03d359d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_a04db256-ef9a-4d67-bacc-56c74c41911f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_9f663089-b711-4e07-92f7-c86cd247bb1e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_4430e65d-daac-404b-a8d0-11f61fc504bf.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/e40ee2cd-7d78-41ab-967f-e50920e90f14_22f0f082-e9e5-4f62-8e3d-4710a688ef83.jpg/250x188.webp,123.91459628158174,8021
