guid,make,model,version,seller-type,price,fuel-type,mileage,first-reg-date,zip-code,images,distance,reg-age
3410ba6c-d276-41c2-9cf9-762c870061ae,Volvo,V70,2.5i,Dealer,500,b,380000,05-1997,8530,https://prod.pictures.autoscout24.net/listing-images/3410ba6c-d276-41c2-9cf9-762c870061ae_4ad8d631-e339-420f-8592-1eb6c035ed1d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3410ba6c-d276-41c2-9cf9-762c870061ae_cc12406e-0bf6-4c60-902a-07d6f5f3fafd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3410ba6c-d276-41c2-9cf9-762c870061ae_183e3365-100a-4d24-b907-5157e3b58008.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/3410ba6c-d276-41c2-9cf9-762c870061ae_a77173c6-0204-465d-8715-80033b02c522.jpg/250x188.webp,105.8653486907627,9368
943f4734-da69-47a5-a338-8e688e647cf2,Volvo,S40,1.9 D,PrivateSeller,500,d,202000,01-2000,8000,https://prod.pictures.autoscout24.net/listing-images/943f4734-da69-47a5-a338-8e688e647cf2_06c36f67-8b27-4d92-b27e-2a8eead0cd86.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/943f4734-da69-47a5-a338-8e688e647cf2_d3bcfe3f-8223-4c0d-9fd1-fb89b5047f99.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/943f4734-da69-47a5-a338-8e688e647cf2_dc7f0bc6-d6f1-4a20-8dea-d5a92bea8eb6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/943f4734-da69-47a5-a338-8e688e647cf2_2b403087-b782-4ef4-ac7e-4f4dc2430e7f.jpg/250x188.webp,90.37195651627515,8393
05b49505-493c-4496-8183-d3edc1a53ffe,Volvo,S80,D5,PrivateSeller,800,d,401000,04-2005,7870,,104.04117675167794,6476
359d6316-28d9-4331-9c79-83ce47bbe53d,Volvo,S40,1.6 Turbo - D Kinetic,PrivateSeller,800,d,201000,12-2006,4000,,118.53949006185148,5867
72decb77-9f74-4ff1-b884-f28664aa034b,Volvo,V40,1.9 / EXPORT ONLY,Dealer,990,d,292874,07-2003,1000,https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_0e7b27fb-b762-4d05-a8a0-fd6facfb977d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_e3fdde0a-a0c1-4527-9699-dee3ee512024.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_56e62df9-5104-4422-a919-63b01f962b5a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_12b67c9b-624a-445e-bc6a-2eb2c2f23802.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_12a5c009-f94e-451c-9198-a22041f134aa.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_4868be43-9b2d-460f-8219-4597ce08d383.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_001c947a-c561-4e7a-b1a9-58dc610835d4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_ff6e8a41-aed7-4013-8577-d512c9174d3d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_aaed780b-691e-43c3-8303-9870b2c105ff.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_b260a47b-499b-4ee5-acb0-05573a9d7c0c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_ef5e8717-8c05-4586-b5d8-ca1151aa9387.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_a39a3884-c25e-4abe-b802-5857c040b46b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_b201a64a-a778-4387-b336-abbf3b1b004a.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_0cde46fa-4637-46fd-98b5-830834f90315.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_7fed86e9-2e1e-4994-a8d9-2efd712ba000.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_3042783a-3ebd-4319-805c-f65c981ea361.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_5dc7ccb3-dd33-4520-8a1c-5514f3e6a2d1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/72decb77-9f74-4ff1-b884-f28664aa034b_0317ef9d-b634-465e-a5b0-9c1d4b4c0d30.jpg/250x188.webp,69.17270624549755,7116
144f9403-a9d3-4ac9-96aa-cad664d18fc4,Volvo,V50,2.0 Engine Starts one seconds and stops,Dealer,999,d,289000,05-2006,1400,https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_b696c190-717d-44f1-a0e2-f8c0e8358676.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_5f230fe5-0d96-43d6-bbd5-96c8d3343f97.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_76cd40f0-263a-4993-a8c1-47a1077c4051.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_59ee5579-e59c-4823-a5ad-56c3738541d2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_e6257fd8-07a7-44d2-a2a0-ede20eb2dfe9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_1c2c648c-db2a-4079-837e-e9da1534e96e.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_57251c1c-fbec-4b7b-ac8c-69dc0f1a19fd.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_0eb339c8-e12f-4c42-a77d-934f862e58be.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/144f9403-a9d3-4ac9-96aa-cad664d18fc4_d12c88d8-9410-4e9c-a39b-816a476cbf13.jpg/250x188.webp,97.35176357549375,6081
88b187c8-46cf-40c6-985c-dd9ef34f1131,Volvo,V70,D5,PrivateSeller,1000,d,332000,11-2003,8790,https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_4b97cb44-fe7e-494c-91e9-dfc09fdbc2af.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_5b72a523-7aa3-4203-a9d9-84678a479dd1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_d19a9ce1-1668-4b74-9b7f-f8ab7f917a75.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_c23f4142-ed43-4c23-acbc-84d8ffbe5a87.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_e42b3449-e216-437b-928f-3308f1196a77.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_aff18b09-6e97-467b-ac37-72d50473b4e3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_da811ae0-a020-4231-941c-726fe144eca9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_54ecaaa5-d29a-4a5f-869a-82f2f02164b1.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/88b187c8-46cf-40c6-985c-dd9ef34f1131_3d7b92e5-2162-4b07-9526-01bb82dc1c85.jpg/250x188.webp,97.02122056774895,6993
1d617ba2-2032-4f38-a354-ab16381bdd5f,Volvo,V70,2.4 Turbo - D,PrivateSeller,1000,d,285000,07-2002,7390,https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_c1acd919-6dc0-4a1b-9f91-585896311806.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_a00909fc-b713-4eb6-a9a0-69743d7abaf6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_71f2e07b-1af7-4ac7-85c6-694fe404545b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_389de87d-a4d1-414b-b57e-1d018e22e148.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_14ce11b9-80de-4e5e-b8ad-cfcdd544358c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_636ecd96-6f1d-4c39-9f31-e1b3e865b36b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_81624624-344c-4e44-8577-d55597c9f960.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_9964c281-1a89-4b78-8d79-39cf4765878f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_6a464783-4b59-4ac1-a6c6-e02f7c3f8c74.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_3b027cc6-c3b8-4ac6-888d-2856c99badf4.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_f3cb6e58-dd17-498a-ac59-adef9e2bab6f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_c49eb7eb-4cb9-4514-a3f1-911e68c015b3.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_87815749-280e-4a1a-a3fa-e09ca7af810d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_7e082676-5550-4044-8eb0-55d145e97a65.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_a49c9866-a771-48be-8c49-eaeda7726f5b.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/1d617ba2-2032-4f38-a354-ab16381bdd5f_1c807199-7363-4c28-b3ec-bcf00a2fa56f.jpg/250x188.webp,121.56764290915724,7481
2c619285-1ec7-417d-94ca-3c0a8e6008de,Volvo,V40,1.9 D *EXPORT*,Dealer,1000,d,266832,02-2002,2640,https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_b89283fa-7481-493d-8d77-d45b224741ed.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_5e4c5d14-99ef-4b4f-a702-42dce5c0cff2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_3d6cf1ee-fd45-4ba4-af9e-cbb5053736a9.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_ddb6bf0a-31f0-4ea3-985c-5b135f57a8da.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_f1599c80-ee2e-46bc-83d7-5fb1da4de5c5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_95b2ba44-4265-4d51-a17c-4ee7dc16d2ae.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_03aa5bee-74fc-4e5e-ab85-c4e16977f8cb.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_b2755acf-8f72-4e87-a6e4-7eb3205c9c76.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_5d629317-6e57-404c-a7a1-57af0c4e1615.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_1dbc8445-3ff7-444e-bec5-f7fbcc661ba5.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_4ad0ad84-c29f-4417-8155-74cc9b61f17f.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_d71db668-b694-4e42-a00b-24c47fcb4b3d.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_267d774e-fbbe-4696-81df-e45195870181.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/2c619285-1ec7-417d-94ca-3c0a8e6008de_5bf8064f-51fe-439b-9e32-5f2b0e89f56b.jpg/250x188.webp,33.48120517070446,7631
d0fe45f2-0a64-4b61-8504-6a2271062739,Volvo,S80,2.4 Turbo - D5 Elan,PrivateSeller,1100,d,350000,11-2003,6533,https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_0b4dfb1f-d7ba-432b-a2a2-7b4563726ea6.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_966e5001-c63e-4693-b062-e562415aa7c2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_db9d9164-3f92-46ae-880b-d27c70ebc375.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_a871f547-a6e2-4e0f-af4f-403712ce3fa2.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_402af649-f929-459c-be29-d4c4fc1fabab.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_a20de12b-2d2c-46a7-9614-17016a911e2c.jpg/250x188.webp https://prod.pictures.autoscout24.net/listing-images/d0fe45f2-0a64-4b61-8504-6a2271062739_6aa8b13a-8ffe-48a8-ae21-e5e88c35ac13.jpg/250x188.webp,128.02043750357706,6993
