guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
d9bf6ce9-39bc-4c2a-8056-79e710b5eff8,audi,a5,c,d,34950,2300,b,22854,09-2019,36.751136569594,1184,https://prod.pictures.autoscout24.net/listing-images/d9bf6ce9-39bc-4c2a-8056-79e710b5eff8_ebc8811b-23ec-42d4-96e8-4eae91398ca2.jpg/480x360.jpg
0795e7f3-d2c6-4142-8537-c4537ba6e86a,audi,rs5,c,d,54995,2870,b,67360,12-2017,48.59068591419226,1823,https://prod.pictures.autoscout24.net/listing-images/0795e7f3-d2c6-4142-8537-c4537ba6e86a_5fc7d18d-1c02-4ebc-b7af-d878186dbbed.jpg/480x360.jpg
a4d5d73d-16ac-4a00-9828-1c0c44dd79c9,audi,a6,c,d,33990,9160,b,83346,04-2018,52.83263590517851,1702,https://prod.pictures.autoscout24.net/listing-images/a4d5d73d-16ac-4a00-9828-1c0c44dd79c9_5a0b8d4e-2935-4fb3-9624-93da6fdf4e74.jpg/480x360.jpg
1437194b-9331-4efa-9b4c-c7dcd620fd92,audi,tt,c,d,28750,8800,b,82231,06-2017,107.24415982689398,2006,https://prod.pictures.autoscout24.net/listing-images/1437194b-9331-4efa-9b4c-c7dcd620fd92_67002e7e-2d88-4a0b-a968-d3a2ad9a1a05.jpg/480x360.jpg
ac6f662d-157f-4d47-b521-d29d1b0063bb,audi,rs5,c,d,74900,3970,b,38500,01-2020,66.88973710098982,1062,https://prod.pictures.autoscout24.net/listing-images/ac6f662d-157f-4d47-b521-d29d1b0063bb_a3eaff2f-e849-48a6-9e6f-e1c4b8841ad3.jpg/480x360.jpg
e6cf1d4e-2613-496f-b452-9535cad1b43e,audi,q3,c,d,25500,1780,b,51288,11-2017,63.273818071645216,1853,https://prod.pictures.autoscout24.net/listing-images/e6cf1d4e-2613-496f-b452-9535cad1b43e_d0326bd8-cd3e-4fd7-9d9d-6316bbc890d2.jpg/480x360.jpg
a7300dc4-a381-42e5-bdc5-512fdeeac8fb,audi,q2,c,d,21990,4000,b,55000,05-2018,118.53949006185148,1672,https://prod.pictures.autoscout24.net/listing-images/a7300dc4-a381-42e5-bdc5-512fdeeac8fb_37cd2660-a888-41f5-bdd5-7464966b738e.jpg/480x360.jpg
1228f1ca-f5e3-4bfc-9af6-c85ca8613ee0,audi,a1,c,d,12900,7033,b,97400,08-2017,120.92234590410432,1945,https://prod.pictures.autoscout24.net/listing-images/1228f1ca-f5e3-4bfc-9af6-c85ca8613ee0_5f09ed67-6cbf-4baa-806e-bbd28c7c495c.jpg/480x360.jpg
f8e25bc2-a54c-4c69-b237-7a009ee12154,audi,q2,c,d,24950,5070,b,57548,04-2019,122.22662855592974,1337,https://prod.pictures.autoscout24.net/listing-images/f8e25bc2-a54c-4c69-b237-7a009ee12154_782fb8bd-7450-494c-8b6d-94285176925a.jpg/480x360.jpg
bb8ef433-ea51-4b8a-9ee5-51d6d3bcb935,audi,a3,c,d,31190,3900,b,19980,04-2021,71.7180365522782,606,https://prod.pictures.autoscout24.net/listing-images/bb8ef433-ea51-4b8a-9ee5-51d6d3bcb935_9562af12-a763-4baf-94ae-5c43395bbba1.jpg/480x360.jpg
