guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
5f0af60d-9cf6-48d3-a648-67027ba9d0d0,bmw,x3,c,d,15000,1000,d,140154,02-2014,69.17270624549755,3222,https://prod.pictures.autoscout24.net/listing-images/5f0af60d-9cf6-48d3-a648-67027ba9d0d0_3c39f95d-d89c-4b47-9082-9a1cbc78cc78.jpg/480x360.jpg
ab21dde8-01ee-4e5e-8572-21c3258b7848,bmw,320,c,d,13500,8570,d,150970,08-2014,100.49126072839948,3041,https://prod.pictures.autoscout24.net/listing-images/ab21dde8-01ee-4e5e-8572-21c3258b7848_ae5064f0-107c-4b48-a2d3-e7f0e911e129.jpg/480x360.jpg
7a882e46-0361-442f-b14b-4eac985d0108,bmw,320,c,d,13000,1000,d,122320,03-2011,69.17270624549755,4290,https://prod.pictures.autoscout24.net/listing-images/7a882e46-0361-442f-b14b-4eac985d0108_421e34b8-f60b-4bbc-9224-797c22420edf.jpg/480x360.jpg
3a7ca187-c140-4b91-b84a-c0eb576d6a10,bmw,z4,c,d,9999,9850,b,193575,01-2005,79.95826720403902,6540,https://prod.pictures.autoscout24.net/listing-images/3a7ca187-c140-4b91-b84a-c0eb576d6a10_8dd01005-4f6a-4e1b-8005-3917da8a2788.jpg/480x360.jpg
65f7f877-14c9-4baf-8ed0-134c0a7a1f27,bmw,316,c,d,9900,7134,d,160000,03-2012,116.23444273110738,3924,https://prod.pictures.autoscout24.net/listing-images/65f7f877-14c9-4baf-8ed0-134c0a7a1f27_eb8c648f-d46c-4913-bffe-3cf6452317bd.jpg/480x360.jpg
9dfca84c-8096-4096-8360-a98552bc07d9,bmw,116,c,d,13300,1000,d,77707,08-2014,69.17270624549755,3041,https://prod.pictures.autoscout24.net/listing-images/9dfca84c-8096-4096-8360-a98552bc07d9_32965577-294d-4c5e-aa20-0d728cd04e60.jpg/480x360.jpg
608bd56f-f688-47e9-b3b7-22b840800765,bmw,316,c,d,14690,1000,d,83590,05-2014,69.17270624549755,3133,https://prod.pictures.autoscout24.net/listing-images/608bd56f-f688-47e9-b3b7-22b840800765_be3ddf51-d9bc-4fd8-9e54-d6279d86fe89.jpg/480x360.jpg
57c89644-dda5-439a-93b6-a6b7a6fc6195,bmw,118,c,d,13700,1000,b,122471,02-2016,69.17270624549755,2492,https://prod.pictures.autoscout24.net/listing-images/57c89644-dda5-439a-93b6-a6b7a6fc6195_3ce40ec9-59ce-47c6-8fb9-e0079c2a778c.jpg/480x360.jpg
b1c454fc-b6bf-4f6d-a20e-f8de0def4614,bmw,318,c,d,10999,1861,d,175000,06-2013,58.463024564819776,3467,https://prod.pictures.autoscout24.net/listing-images/b1c454fc-b6bf-4f6d-a20e-f8de0def4614_bca8e96e-a512-4c4a-bcc1-e91a221b43ca.jpg/480x360.jpg
cedf186c-7545-498c-8123-d2fb494ea1c1,bmw,216,c,d,14950,3512,d,98000,03-2016,81.96119366050621,2463,https://prod.pictures.autoscout24.net/listing-images/cedf186c-7545-498c-8123-d2fb494ea1c1_cd8a6775-d21d-4ca6-9217-63b1831ee4e8.jpg/480x360.jpg
44da96cb-38bb-4f8f-9b68-3cd0efc1ee12,bmw,530,c,d,11500,2490,b,154500,07-1989,59.02891586146089,12203,https://prod.pictures.autoscout24.net/listing-images/44da96cb-38bb-4f8f-9b68-3cd0efc1ee12_bdaab586-99f7-4ae8-94dd-60c4e1a3f09c.jpg/480x360.jpg
144a3b73-421c-4a14-87b0-3af1612d6147,bmw,114,c,d,12995,3200,d,137911,07-2015,60.911700271925,2707,https://prod.pictures.autoscout24.net/listing-images/144a3b73-421c-4a14-87b0-3af1612d6147_3a72d013-1e07-4b11-bca2-a00aa0d5f17f.jpg/480x360.jpg
df779bc1-06e7-461e-89de-6ce6da477ea3,bmw,x3,c,d,10450,6150,d,365000,02-2012,118.77654030835686,3953,https://prod.pictures.autoscout24.net/listing-images/df779bc1-06e7-461e-89de-6ce6da477ea3_ba61cc7f-837d-4ffb-bb9b-14ddc9053647.jpg/480x360.jpg
40934931-5488-497e-97bc-93b40d2bdadb,bmw,214,c,d,14600,6690,d,117895,09-2017,163.93426433345658,1914,https://prod.pictures.autoscout24.net/listing-images/40934931-5488-497e-97bc-93b40d2bdadb_4f2a54af-d05d-4a68-a371-631ab3d6462e.jpg/480x360.jpg
a7dfbc68-6c60-4290-a509-f02878df69cd,bmw,316,c,d,7400,8520,b,330000,08-1990,107.45339579517565,11807,https://prod.pictures.autoscout24.net/listing-images/a7dfbc68-6c60-4290-a509-f02878df69cd_6cefd7ae-9d82-40ea-bc8e-ee17da924f83.jpg/480x360.jpg
427b5148-9ee9-41b8-8ac0-e8b4dba52122,bmw,z3,c,d,7390,1760,b,188070,07-1997,76.61048840680004,9281,https://prod.pictures.autoscout24.net/listing-images/427b5148-9ee9-41b8-8ac0-e8b4dba52122_ed6a9816-39c6-4f5f-9d0e-93263b5bf30d.jpg/480x360.jpg
a1c8daf1-67c0-4a0b-bd49-1111061bcd5b,bmw,216,c,d,14990,8791,d,103229,09-2017,102.62748120507626,1914,https://prod.pictures.autoscout24.net/listing-images/a1c8daf1-67c0-4a0b-bd49-1111061bcd5b_a937250a-ef77-4cef-bd24-f923b09cfb79.jpg/480x360.jpg
752020f3-7f67-46e6-997e-3298f3e433be,bmw,114,c,d,7990,7134,d,198000,11-2013,116.23444273110738,3314,https://prod.pictures.autoscout24.net/listing-images/752020f3-7f67-46e6-997e-3298f3e433be_585e0105-3766-4424-bf61-6a1eebea782a.jpg/480x360.jpg
3b5f71f4-47c0-4cda-9992-d268f6ea51a7,bmw,420,c,d,14995,8000,d,180322,01-2015,90.37195651627515,2888,https://prod.pictures.autoscout24.net/listing-images/3b5f71f4-47c0-4cda-9992-d268f6ea51a7_ebc5d4c0-5c80-446e-8640-e302a0c44fc5.jpg/480x360.jpg
f8712c10-090e-4eb8-b72b-34ff14e03b19,bmw,318,c,d,3790,7134,d,300000,06-2007,116.23444273110738,5659,https://prod.pictures.autoscout24.net/listing-images/f8712c10-090e-4eb8-b72b-34ff14e03b19_c4e725e3-c868-48bc-bd89-9d5d6307868d.jpg/480x360.jpg
1eb04e72-6d8e-4e4c-8386-d2bda015a907,bmw,z4,c,d,9399,1651,b,139000,05-2003,78.98056604317188,7151,https://prod.pictures.autoscout24.net/listing-images/1eb04e72-6d8e-4e4c-8386-d2bda015a907_fd70d8dc-2b63-4260-a5cc-cff569a4584f.jpg/480x360.jpg
