guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
e6fd90d3-0c03-4252-aa2d-80cb5299e191,honda,civic,c,d,17199,6240,b,45300,03-2018,115.29065835205232,1734,https://prod.pictures.autoscout24.net/listing-images/e6fd90d3-0c03-4252-aa2d-80cb5299e191_a974ca8b-c8d2-47ce-bb95-73168dd29f70.jpg/480x360.jpg
fa72709f-560b-4481-b156-5b191abbf13f,honda,accord,c,d,13950,8770,d,87286,06-2012,104.15692480242703,3833,https://prod.pictures.autoscout24.net/listing-images/fa72709f-560b-4481-b156-5b191abbf13f_08b0cf28-83f1-4263-9d88-c5de4b085b95.jpg/480x360.jpg
49b709c6-5fe3-4038-b176-e92724e824e2,honda,civic,c,d,8000,1000,b,80364,09-2011,69.17270624549755,4107,https://prod.pictures.autoscout24.net/listing-images/49b709c6-5fe3-4038-b176-e92724e824e2_cbfcca3a-a6bb-4343-a0ba-14facadc19c7.jpg/480x360.jpg
17baf665-3f78-4bd5-8033-7c778eabcf78,honda,civic,c,d,15950,7134,b,53000,10-2015,116.23444273110738,2616,https://prod.pictures.autoscout24.net/listing-images/17baf665-3f78-4bd5-8033-7c778eabcf78_7fd565ef-ad20-435f-a7cd-af152b0161ea.jpg/480x360.jpg
1ecf3697-d2d1-4613-be4a-770a2bacc538,honda,civic,c,d,11600,1000,d,61830,10-2015,69.17270624549755,2616,https://prod.pictures.autoscout24.net/listing-images/1ecf3697-d2d1-4613-be4a-770a2bacc538_f483124c-81f5-4487-b208-c53567fab6f7.jpg/480x360.jpg
9831a70e-16f9-4b70-a81b-b4f2ba47b470,honda,civic,c,d,20790,7033,d,24018,07-2018,120.92234590410432,1612,https://prod.pictures.autoscout24.net/listing-images/9831a70e-16f9-4b70-a81b-b4f2ba47b470_c8315432-dc94-4fc8-9d09-27148478e839.jpg/480x360.jpg
85b58e9d-adee-46e8-8752-a299a37e51a9,honda,cr-v,c,d,16600,1000,d,94569,02-2016,69.17270624549755,2493,https://prod.pictures.autoscout24.net/listing-images/85b58e9d-adee-46e8-8752-a299a37e51a9_d9a43f3a-fec7-4774-8ac3-7cec7f40ae7b.jpg/480x360.jpg
76703390-19ee-4231-9cbb-214ec53f5d1c,honda,civic,c,d,3990,4710,b,97297,02-2002,138.55074659169972,7606,https://prod.pictures.autoscout24.net/listing-images/76703390-19ee-4231-9cbb-214ec53f5d1c_90d81ad1-6d90-4839-ab12-40e81a75b234.jpg/480x360.jpg
a2e6065f-782c-4790-a8c9-4f67dac05d47,honda,civic,c,d,29990,4710,b,29,06-2022,138.55074659169972,181,https://prod.pictures.autoscout24.net/listing-images/a2e6065f-782c-4790-a8c9-4f67dac05d47_e6650d2d-5257-488d-86d2-2d487f8be32f.jpg/480x360.jpg
b33fab26-71f5-4780-8652-ca0320fea7a1,honda,civic,c,d,24500,8800,b,43949,12-2019,107.24415982689398,1094,https://prod.pictures.autoscout24.net/listing-images/b33fab26-71f5-4780-8652-ca0320fea7a1_b00bea21-8c4f-43f9-bf29-373ab0d6240e.jpg/480x360.jpg
8d80d339-b665-46f5-8e1f-856ba965b27f,honda,civic,c,d,32990,4432,b,54000,12-2018,111.15678224769336,1459,https://prod.pictures.autoscout24.net/listing-images/8d80d339-b665-46f5-8e1f-856ba965b27f_6f107a60-c8c7-4afb-826e-c2cd4ee80d14.jpg/480x360.jpg
582f4751-e0a7-46d2-8df1-459565a0807d,honda,accord,c,d,4750,8800,b,158000,05-2003,107.24415982689398,7152,https://prod.pictures.autoscout24.net/listing-images/582f4751-e0a7-46d2-8df1-459565a0807d_874952d0-6815-4dcf-b616-af7add605021.jpg/480x360.jpg
214d124f-f344-4e0d-929a-389a27d87b95,honda,civic,c,d,20490,8470,b,53750,12-2019,112.13867186558144,1094,https://prod.pictures.autoscout24.net/listing-images/214d124f-f344-4e0d-929a-389a27d87b95_d4708935-2421-49eb-b0d8-5fcc0a4db054.jpg/480x360.jpg
6285e471-43d6-4d7b-9567-11a1f1f659ec,honda,jazz,c,d,16995,7800,b,14673,03-2019,104.58581336862675,1369,https://prod.pictures.autoscout24.net/listing-images/6285e471-43d6-4d7b-9567-11a1f1f659ec_4e3a6d8a-52ab-492b-aa24-633635b59add.jpg/480x360.jpg
7beff150-cd09-49ce-9dee-56ce82a1adf7,honda,civic,c,d,11500,9000,d,100600,11-2015,69.99787275902874,2585,https://prod.pictures.autoscout24.net/listing-images/7beff150-cd09-49ce-9dee-56ce82a1adf7_7129befb-1bf3-4032-9574-ad11329d8853.jpg/480x360.jpg
738e1bd1-4edc-471b-aa03-779ec0e940bb,honda,civic,c,d,11600,4000,d,61830,10-2015,118.53949006185148,2616,https://prod.pictures.autoscout24.net/listing-images/738e1bd1-4edc-471b-aa03-779ec0e940bb_083190ca-fa98-4960-bd1b-d0a507ca58ab.jpg/480x360.jpg
42456331-1ca6-4d7f-8dc2-079c17be5748,honda,civic,c,d,24950,7120,b,113000,02-2016,126.85657914067737,2493,https://prod.pictures.autoscout24.net/listing-images/42456331-1ca6-4d7f-8dc2-079c17be5748_38211989-5ee9-4392-9453-a5b843351f40.jpg/480x360.jpg
2067120b-3f62-46cd-90be-a99c856f834d,honda,cr-v,c,d,31900,9000,2,37150,04-2019,69.99787275902874,1338,https://prod.pictures.autoscout24.net/listing-images/2067120b-3f62-46cd-90be-a99c856f834d_ae52c8c8-6bc4-4566-83ad-686a09ed762e.jpg/480x360.jpg
076c52d5-2aa0-40f6-820a-b4bd5759c9d5,honda,civic,c,d,12900,7120,d,49000,12-2014,126.85657914067737,2920,https://prod.pictures.autoscout24.net/listing-images/076c52d5-2aa0-40f6-820a-b4bd5759c9d5_5974f79a-1a5d-4bc8-becb-133c7623501b.jpg/480x360.jpg
d3115c18-6ff6-42bf-9484-afc0eeafccec,honda,civic,c,d,33985,2110,2,0,09-2022,26.910904850539477,89,https://prod.pictures.autoscout24.net/listing-images/d3115c18-6ff6-42bf-9484-afc0eeafccec_90e2bbf3-e78e-4212-a87f-0327a8c32d17.jpg/480x360.jpg
bf3f845e-360f-4957-815f-b5bd1864c3c3,honda,accord,c,d,2500,6010,b,136000,11-2000,119.70351809317113,8063,https://prod.pictures.autoscout24.net/listing-images/bf3f845e-360f-4957-815f-b5bd1864c3c3_0b536b63-5ac0-42f5-9067-210217e3dc95.jpg/480x360.jpg
ba66b21f-671c-4963-8fc3-4f247d168b57,honda,jazz,c,d,13800,6698,b,41700,07-2019,162.1712561985485,1247,https://prod.pictures.autoscout24.net/listing-images/ba66b21f-671c-4963-8fc3-4f247d168b57_6e18a6a3-019a-4491-b220-3386ba17d7e4.jpg/480x360.jpg
3de3e172-72b0-4e43-884a-6ff0ff12ee75,honda,e,c,p,24854,9620,e,16210,12-2020,79.3684737361704,728,https://prod.pictures.autoscout24.net/listing-images/3de3e172-72b0-4e43-884a-6ff0ff12ee75_bb7bb15b-b543-4c8f-88f7-f387f5843872.jpg/480x360.jpg
5cdca745-ceb3-4282-8aa1-834d5281ac9c,honda,civic,c,d,1950,9280,b,45130,10-2003,57.52425726435139,6999,https://prod.pictures.autoscout24.net/listing-images/5cdca745-ceb3-4282-8aa1-834d5281ac9c_f5706611-510d-455c-87a0-fec9abcea224.jpg/480x360.jpg
fe5226b3-1742-4640-abf8-7b65a9b1b727,honda,accord,c,d,9990,1402,d,82000,12-2013,97.1141031046869,3285,https://prod.pictures.autoscout24.net/listing-images/fe5226b3-1742-4640-abf8-7b65a9b1b727_c85fcf14-5425-422e-b4cd-cffc9fb9c6b0.jpg/480x360.jpg
0f7f996b-6f2f-44eb-a025-a421df538796,honda,accord,c,d,4850,1700,b,158000,05-2004,70.90697373704198,6786,https://prod.pictures.autoscout24.net/listing-images/0f7f996b-6f2f-44eb-a025-a421df538796_6f921919-d394-4178-b7c7-9ca26c7ea0da.jpg/480x360.jpg
1c787ebe-6de9-485a-8491-a054438c1cf4,honda,prelude,c,p,2750,7780,b,59104,01-1980,129.12592734900286,15673,https://prod.pictures.autoscout24.net/listing-images/1c787ebe-6de9-485a-8491-a054438c1cf4_1733b856-cd55-4ac7-9584-eb671d5175d4.jpg/480x360.jpg
88e348e8-22ad-4ab9-8768-03a77497f9d4,honda,civic,c,p,4999,1300,b,170000,06-2010,83.88957347991013,4564,https://prod.pictures.autoscout24.net/listing-images/88e348e8-22ad-4ab9-8768-03a77497f9d4_d046412b-9beb-44af-a581-4170912d180b.jpg/480x360.jpg
b2921c43-d2c5-44df-a296-bfb5d7f72a9c,honda,civic,c,p,28900,6680,b,42000,05-2016,177.62355871621548,2403,https://prod.pictures.autoscout24.net/listing-images/b2921c43-d2c5-44df-a296-bfb5d7f72a9c_b3fec8b2-f3ff-495d-9672-01b3ce43255f.jpg/480x360.jpg
7b4e12cb-b189-4bfd-a41f-a7cf1b9d9e62,honda,civic,c,d,7500,6661,b,240000,03-2007,164.54628212958488,5752,https://prod.pictures.autoscout24.net/listing-images/7b4e12cb-b189-4bfd-a41f-a7cf1b9d9e62_c4152603-c2ca-442d-92a1-a8ced0e09f2b.jpg/480x360.jpg
ec6ec535-a78a-450a-94c0-0e5f48bda66a,honda,prelude,c,p,3500,8790,b,129000,01-1997,97.02122056774895,9463,https://prod.pictures.autoscout24.net/listing-images/ec6ec535-a78a-450a-94c0-0e5f48bda66a_26f694e6-32a5-43b5-be98-75bda738e7ac.jpg/480x360.jpg
bdc2ada3-e9ee-495a-ae30-239b0919b3fc,honda,civic,c,d,13990,5060,d,68468,01-2017,116.00750129472273,2158,https://prod.pictures.autoscout24.net/listing-images/bdc2ada3-e9ee-495a-ae30-239b0919b3fc_ec52428c-6b6d-4af0-824b-55cc39cac1ee.jpg/480x360.jpg
4e56d7c0-00a9-44a1-ac3a-98dc75d1a40f,honda,s 2000,c,p,47000,6680,b,45000,08-2007,177.62355871621548,5599,https://prod.pictures.autoscout24.net/listing-images/4e56d7c0-00a9-44a1-ac3a-98dc75d1a40f_aca8f373-8637-4670-9f30-43163c9c93f3.jpg/480x360.jpg
d688ccb0-f6e7-4a69-af26-e8b63f309368,honda,civic,c,d,7200,6661,b,290000,03-2002,164.54628212958488,7578,https://prod.pictures.autoscout24.net/listing-images/d688ccb0-f6e7-4a69-af26-e8b63f309368_cd1c4c43-2a63-4810-8635-397e1fe1f236.jpg/480x360.jpg
8d58d443-7b93-4185-99c5-a18ccfc36695,honda,jazz,c,d,6999,1410,b,32694,02-2009,83.89428081314767,5049,https://prod.pictures.autoscout24.net/listing-images/8d58d443-7b93-4185-99c5-a18ccfc36695_32076a93-8668-4ec9-be8b-54bcc1d624d3.jpg/480x360.jpg
19285805-601b-4d12-b039-038e59be4ae0,honda,hr-v,c,d,15280,3200,b,74135,07-2016,60.911700271925,2342,https://prod.pictures.autoscout24.net/listing-images/19285805-601b-4d12-b039-038e59be4ae0_2a2c9123-9276-4780-84f4-61fe9106765a.jpg/480x360.jpg
9b377960-4c2d-44b0-af35-49b4f179e2d0,honda,crx,c,p,9000,4458,b,156000,03-1987,113.21913604469125,13057,https://prod.pictures.autoscout24.net/listing-images/9b377960-4c2d-44b0-af35-49b4f179e2d0_bc2a4951-a0ca-40f7-b361-5c5689c4637e.jpg/480x360.jpg
