guid,make,model,vehicle-type,seller-type,price,zip-code,fuel-type,mileage,year,distance,age,img-url
f90f3997-8988-47f4-bf0c-c08f54672b13,mazda,mx-5,c,d,23950,2580,b,32717,04-2017,47.81608453320808,2068,https://prod.pictures.autoscout24.net/listing-images/f90f3997-8988-47f4-bf0c-c08f54672b13_c847b704-4426-45a3-8b1e-0458d63f6b6e.jpg/480x360.jpg
b5470f5f-d76b-4087-b18b-7a0f4d8fb958,mazda,mx-5,c,d,24100,1000,b,18959,12-2018,69.17270624549755,1459,https://prod.pictures.autoscout24.net/listing-images/b5470f5f-d76b-4087-b18b-7a0f4d8fb958_38178bd4-1c34-4595-9a63-ee4c217d4699.jpg/480x360.jpg
01dabf45-605c-46fe-8b79-c65953204bfd,mazda,mx-5,c,d,25990,1420,b,9140,05-2020,87.49639779077864,942,https://prod.pictures.autoscout24.net/listing-images/01dabf45-605c-46fe-8b79-c65953204bfd_f10cb51b-3385-49bb-832b-8facefa2d6ad.jpg/480x360.jpg
d95efe30-df05-4295-86fc-1f784c5d66df,mazda,6,c,d,10950,8490,d,148960,07-2013,99.32796391607101,3438,https://prod.pictures.autoscout24.net/listing-images/d95efe30-df05-4295-86fc-1f784c5d66df_2bb22519-79cb-427b-b4b0-766f307b6552.jpg/480x360.jpg
7bf69159-e6e7-4aed-aaee-6063fb0bbb45,mazda,3,c,d,31758,8550,b,0,10-2022,107.36766166002549,59,https://prod.pictures.autoscout24.net/listing-images/7bf69159-e6e7-4aed-aaee-6063fb0bbb45_eb2e2e96-0427-4006-87ae-52ef963c8b94.jpg/480x360.jpg
dd5c2cd2-b55c-42f8-a9fb-4b8a958702dd,mazda,mx-5,c,d,23990,3300,b,23306,04-2019,76.19991947951956,1338,https://prod.pictures.autoscout24.net/listing-images/dd5c2cd2-b55c-42f8-a9fb-4b8a958702dd_59158f77-041d-465d-813b-f269c1e57102.jpg/480x360.jpg
44098f97-25a7-472c-abc1-c7950f2c6e24,mazda,cx-5,c,d,17990,2070,b,60894,04-2013,30.80136628106094,3529,https://prod.pictures.autoscout24.net/listing-images/44098f97-25a7-472c-abc1-c7950f2c6e24_4dbaa87c-9511-4caf-a0dc-f1e4af202228.jpg/480x360.jpg
4f2dd602-8eab-4d20-915e-702512db576f,mazda,cx-3,c,d,18500,5101,d,96453,06-2019,117.51544379877458,1277,https://prod.pictures.autoscout24.net/listing-images/4f2dd602-8eab-4d20-915e-702512db576f_e95295b8-557b-47b5-b26f-d19cd0d1742d.jpg/480x360.jpg
c3e3f7c1-c67d-445c-99e6-e896621fbf82,mazda,6,c,d,11300,1000,d,137720,07-2014,69.17270624549755,3073,https://prod.pictures.autoscout24.net/listing-images/c3e3f7c1-c67d-445c-99e6-e896621fbf82_8c2ac50f-5274-4958-b853-6f14f24265f2.jpg/480x360.jpg
8ad54c26-2f29-4f4b-a132-bb72a00614e5,mazda,cx-5,c,d,37682,8550,b,0,09-2022,107.36766166002549,89,https://prod.pictures.autoscout24.net/listing-images/8ad54c26-2f29-4f4b-a132-bb72a00614e5_6c9cd93b-1d58-4143-857b-cd390b0b4303.jpg/480x360.jpg
02cbda7c-5dba-4a24-a69f-8e8e606cf5cc,mazda,mx-5,c,d,8450,2580,b,116977,04-2005,47.81608453320808,6451,https://prod.pictures.autoscout24.net/listing-images/02cbda7c-5dba-4a24-a69f-8e8e606cf5cc_512ce05f-2c47-4350-b28d-116c99dafffd.jpg/480x360.jpg
926d4703-c56a-40d5-b8f9-c1298f81079d,mazda,6,c,d,29500,5101,b,39323,12-2019,117.51544379877458,1094,https://prod.pictures.autoscout24.net/listing-images/926d4703-c56a-40d5-b8f9-c1298f81079d_820e0e5b-1b02-4a7d-b1d9-6c3a6d829513.jpg/480x360.jpg
e59339db-56ce-4dcd-8376-0e59346c24f5,mazda,3,c,d,27658,8550,b,0,09-2022,107.36766166002549,89,https://prod.pictures.autoscout24.net/listing-images/e59339db-56ce-4dcd-8376-0e59346c24f5_80e14f9a-cae0-42fb-bc3c-4463fb75af77.jpg/480x360.jpg
